proxyWallet,walletPattern,walletTotalYESNotionalUSDC,walletFutureYESNotionalUSDC,timestamp,activityTimeUTC,deadlineBucket,conditionId,marketRelationType,marketQuestion,marketSlug,marketEndDate,type,side,outcome,outcomeIndex,asset,size,usdcSize,price,transactionHash,title,slug,eventSlug,name,pseudonym,bio,isCombo,_collectionTimeUTC
0x1cdd071bb612de6d66d0c882b676c663697de595,BOUGHT_FUTURE_MARKETS_ONLY,236.01,236.01,1781496606,2026-06-15T04:10:06+00:00,Before market deadline,0xda519921a7090298cbdc56ee838a403a5193c2b3f637aef3e154e52de7b5e79c,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by August 31, 2026?",us-x-iran-permanent-peace-deal-by-august-31-2026,2026-08-31T00:00:00Z,MERGE,,,999,,30.0,30.0,0.0,0x12589d2fc2597cd52625c62e1c185a5a0ff911dd21351edc627991b0ea7ac14c,"US x Iran permanent peace deal by August 31, 2026?",us-x-iran-permanent-peace-deal-by-august-31-2026,us-x-iran-permanent-peace-deal-by,Lavincey,Firsthand-Eaglet,,,2026-06-20T16:42:21.942808+00:00
0xbd0477e08d82d35a855ff19644a88a9213d8fbb0,BOUGHT_FUTURE_MARKETS_ONLY,4360.20495,4360.20495,1781497666,2026-06-15T04:27:46+00:00,Before market deadline,0xda519921a7090298cbdc56ee838a403a5193c2b3f637aef3e154e52de7b5e79c,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by August 31, 2026?",us-x-iran-permanent-peace-deal-by-august-31-2026,2026-08-31T00:00:00Z,MERGE,,,999,,1268.777,1268.777,0.0,0x0c24d6435e9945b1c270b2f254d848a5fd4bb0e5b72ec66a3a1cf6302acac8f8,"US x Iran permanent peace deal by August 31, 2026?",us-x-iran-permanent-peace-deal-by-august-31-2026,us-x-iran-permanent-peace-deal-by,yuhyuhyuhy352352,Tan-Server,,,2026-06-20T16:47:12.837221+00:00
0xbd0477e08d82d35a855ff19644a88a9213d8fbb0,BOUGHT_FUTURE_MARKETS_ONLY,4360.20495,4360.20495,1781497872,2026-06-15T04:31:12+00:00,Before market deadline,0xda519921a7090298cbdc56ee838a403a5193c2b3f637aef3e154e52de7b5e79c,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by August 31, 2026?",us-x-iran-permanent-peace-deal-by-august-31-2026,2026-08-31T00:00:00Z,MERGE,,,999,,2127.05,2127.05,0.0,0x34938d60d8bb94993a052a129b81b271fd7ecab9fd9218edc46b9538144cd114,"US x Iran permanent peace deal by August 31, 2026?",us-x-iran-permanent-peace-deal-by-august-31-2026,us-x-iran-permanent-peace-deal-by,yuhyuhyuhy352352,Tan-Server,,,2026-06-20T16:47:12.837221+00:00
0x5a218c7ad04135830a45c41aaed7294df7809318,BOUGHT_FUTURE_MARKETS_ONLY,39.36,39.36,1781504553,2026-06-15T06:22:33+00:00,Before market deadline,0xda519921a7090298cbdc56ee838a403a5193c2b3f637aef3e154e52de7b5e79c,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by August 31, 2026?",us-x-iran-permanent-peace-deal-by-august-31-2026,2026-08-31T00:00:00Z,MERGE,,,999,,50.0125,50.0125,0.0,0xde28afe704a98a43276d2d387f19e760a6ac4a442a87527dbd2b7e71e442c246,"US x Iran permanent peace deal by August 31, 2026?",us-x-iran-permanent-peace-deal-by-august-31-2026,us-x-iran-permanent-peace-deal-by,balthazar,Sparse-Cookie,gg,,2026-06-20T16:44:01.272481+00:00
0x1cdd071bb612de6d66d0c882b676c663697de595,BOUGHT_FUTURE_MARKETS_ONLY,236.01,236.01,1781505931,2026-06-15T06:45:31+00:00,Before market deadline,0xda519921a7090298cbdc56ee838a403a5193c2b3f637aef3e154e52de7b5e79c,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by August 31, 2026?",us-x-iran-permanent-peace-deal-by-august-31-2026,2026-08-31T00:00:00Z,MERGE,,,999,,11.0,11.0,0.0,0xad30637faf762e8601fde004a5dbac6b7957eab7d68cd7779fe48dad724da766,"US x Iran permanent peace deal by August 31, 2026?",us-x-iran-permanent-peace-deal-by-august-31-2026,us-x-iran-permanent-peace-deal-by,Lavincey,Firsthand-Eaglet,,,2026-06-20T16:42:21.942808+00:00
0x1cdd071bb612de6d66d0c882b676c663697de595,BOUGHT_FUTURE_MARKETS_ONLY,236.01,236.01,1781513256,2026-06-15T08:47:36+00:00,Before market deadline,0xda519921a7090298cbdc56ee838a403a5193c2b3f637aef3e154e52de7b5e79c,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by August 31, 2026?",us-x-iran-permanent-peace-deal-by-august-31-2026,2026-08-31T00:00:00Z,MERGE,,,999,,6.0,6.0,0.0,0x62de66e043e148d8a5c5188cacbba7b16369d853611fd43abb583d4fce488cba,"US x Iran permanent peace deal by August 31, 2026?",us-x-iran-permanent-peace-deal-by-august-31-2026,us-x-iran-permanent-peace-deal-by,Lavincey,Firsthand-Eaglet,,,2026-06-20T16:42:21.942808+00:00
0x1cdd071bb612de6d66d0c882b676c663697de595,BOUGHT_FUTURE_MARKETS_ONLY,236.01,236.01,1781513668,2026-06-15T08:54:28+00:00,Before market deadline,0xda519921a7090298cbdc56ee838a403a5193c2b3f637aef3e154e52de7b5e79c,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by August 31, 2026?",us-x-iran-permanent-peace-deal-by-august-31-2026,2026-08-31T00:00:00Z,MERGE,,,999,,24.0,24.0,0.0,0x94f0abfb68302f0d43a2b159da09971de2645bba9d610a345c012228755285f3,"US x Iran permanent peace deal by August 31, 2026?",us-x-iran-permanent-peace-deal-by-august-31-2026,us-x-iran-permanent-peace-deal-by,Lavincey,Firsthand-Eaglet,,,2026-06-20T16:42:21.942808+00:00
0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,BOUGHT_TARGET_AND_FUTURE_MARKETS,708007.257733,682471.658893,1781514069,2026-06-15T09:01:09+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_JUNE_15_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,2026-06-15T00:00:00Z,MERGE,,,999,,2222.0,2222.0,0.0,0x3ce16b346a705e614f50ba6e927faa2e4d0cdc5e91f2e250da1ee0b8a016f07a,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,debased,Broken-Dogwood,"no crazy war, yes peace",,2026-06-20T16:42:29.498891+00:00
0x1cdd071bb612de6d66d0c882b676c663697de595,BOUGHT_FUTURE_MARKETS_ONLY,236.01,236.01,1781516104,2026-06-15T09:35:04+00:00,Before market deadline,0xda519921a7090298cbdc56ee838a403a5193c2b3f637aef3e154e52de7b5e79c,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by August 31, 2026?",us-x-iran-permanent-peace-deal-by-august-31-2026,2026-08-31T00:00:00Z,MERGE,,,999,,17.0,17.0,0.0,0xf2b90126292990593efdb9192002a59ad4cdb48a48deb249c31a2ff6ab6d596f,"US x Iran permanent peace deal by August 31, 2026?",us-x-iran-permanent-peace-deal-by-august-31-2026,us-x-iran-permanent-peace-deal-by,Lavincey,Firsthand-Eaglet,,,2026-06-20T16:42:21.942808+00:00
0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,BOUGHT_TARGET_AND_FUTURE_MARKETS,708007.257733,682471.658893,1781527170,2026-06-15T12:39:30+00:00,Before market deadline,0x20af55ab35186377b81219db6cb8615240cba42cea41731091be9484a5f5b122,RELATED_OR_FUTURE_MARKET,"US x Iran permanent peace deal by July 31, 2026?",us-x-iran-permanent-peace-deal-by-july-31-2026-831-252,2026-07-31T00:00:00Z,MERGE,,,999,,113.0188,113.0188,0.0,0x3af91b4514cc21325e0ca3c648f43ff2654c68126ff80af6cf6e1569a5c59e35,"US x Iran permanent peace deal by July 31, 2026?",us-x-iran-permanent-peace-deal-by-july-31-2026-831-252,us-x-iran-permanent-peace-deal-by,debased,Broken-Dogwood,"no crazy war, yes peace",,2026-06-20T16:42:28.082920+00:00
