transactionHash,contextRows,proxyWallets,conditionIds
0x65049bfa07ee33674416199de2f3c1dc743a9ab71f882c41f1b0bf9e83af8cc5,1,0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x3471ca5feee6ef2cb3b16441097df287b7e33021d892d3fed551c5b1e5c5fa66,1,0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0xae7d0ddc07aeb84978ad920dcba1648d5a3b3489cfd20cfb21f1a1affab0624b,1,0x02e7f29f3e612a95a9ccca7131ce7dd5d56b59e5,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x5abce400e13ff0693a5670a9114314864ce67ca23cf15a3edcc8ab264579f8de,1,0x1602856ef17c9b838b2f2b941b9c628cd5eecbf7,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x92a78b5c3611315a9e63d619929dc832bc9aff51d070e9d9124ba5f984d261f7,1,0x2200b75c27835935a40308779b5656c09ab40f2d,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x9c34999275e7ffe94c46a1dc84b45cccb6f2ddd6c08f4fdf10541c77f405a125,1,0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x9f2b1c59530243ac089f22a29efd05a94bb89839b20abfc3766515216cf339b4,1,0x2fa801da750904fc348ccb9315a0b892377d4359,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x180cfdd948f6cc7d902e604c880583dc0f2614ed6b49bb5a38412e727f05763f,1,0x35e36faa4cf1488d120580302ed1d149be749188,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0xc8b12b9f73efae3f14b5c04b20a67852f2c2bc0b1476d18e84248aba91f52d6d,2,0x40604cb1f958c03bea0b18aa43e4cb0d62f33ec3; 0x4099db7f2d394449ccf89c8d42260ecaf1d79fb8,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x402b1e869bf632beff1568f63436d3fcb2a43dbb2139d47cb75cdf3fbe556861,1,0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x67b33b9dead3d716a3ec176c2a5613c0becbb9d5b12962fec8848503911a3cbc,1,0x4c358f830cea4ee26a301ed0faef418bc149fcfe,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0xb276e18373243a758cf4590f6ec8ecf2910783457a318cb2b45e2d6ff37eb189,1,0x54b56146656e7eef9da02b3a030c18e06e924b31,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0xa608cde25b1e25ae2b5ea3935095e20b948dd1eff645e5160465b8fdfab7e20a,1,0x5ccf62ac8155e49bc7d021a1a66e9ef18f5579d7,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x1401018dd1ab3182f900c90f23f8c947a92a8fb20190f3f2d51d0b03fe0841ba,1,0x648bad7080caa1a9931b2774b20e87eca75900ba,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x74079cfe3a1f22433f05ee1edd5aa876eb2fc2ab7ec4ae25426e90c08f08f990,1,0x731a241767938bb23d1b2fac4c9cd2f3cea9033f,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0xb803287cd3254a28c11283e7c4f600a53b0711e258e976483b89e1eee802b59b,1,0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0xc7622865c455bf6120099e9378b3123bfd70457c8b1106735a0755fca0757e13,1,0xa6f8220dfac596335d6b6719f2a2c7b451cc316d,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x5f82446886659e7a1c5e18aad8cfcabb34f7aefff001046c831a84d29a5d8658,1,0xb8a47d387beb9ec7fd4baaec05396e9677cea13b,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x0cece68da3f198b0148a42b2f2b71c47ce0c80ec011151d3d42ac72bf5dd116d,1,0xe90fe094286107ab146138930fb878869702131e,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x06d78c2ebebb696f6d7f802fa2e6e985290f159c1f057c770d013fd1475746f9,1,0x631c2b93ff03c21d29b2b73af4ff965e88ea450f,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x33831eb70a6caa00f30527e544012fd1585f9ef45da82a342543b68950c23c6a,1,0x7c3db723f1d4d8cb9c550095203b686cb11e5c6b,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x8d94f052dc87a754cca6e31beb0ed250d23c29758e4368b99a3635ee4b908022,1,0x88edd092d799556111e57ff3b2107e24dd406cfb,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0xa881f12f8f5bbcc4d4e9443b4d64dced1917fce0c80e5f916e009135d0479e88,1,0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x9511e9f2e71e64e48395522cabca1cd7c5ea68cb7b32f978adebe83ecffec708,1,0xc4086b708cd3a50880b7069add1a1a80000f4675,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0xdd214d76ad8bafb13e2f47981dc0a3a15d43f05de92455cab81fd6c3855ceea4,1,0xdbc45db6ba0618e6182109854e8d19a77b4f4347,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0xf8c1954370e16d6539124061de95fd0f202eec5664ea6856c75244c4ed64e4fd,1,0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x4e2d118ed127520447de3e6f95d90e310d99a87f9d1ee1c49ffc28a52f7fbba8,1,0x648bad7080caa1a9931b2774b20e87eca75900ba,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0x507151a6126eee680d1ae79c581c14aa81a678872f78a7487e6c456bc1335245,1,0xb8a47d387beb9ec7fd4baaec05396e9677cea13b,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0x73fab6713d68836586f276aafd6a984e0a0b0dded3df3fdfe6c977ae4e2e6431,1,0x02e7f29f3e612a95a9ccca7131ce7dd5d56b59e5,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0xb60688586fc91e6f6f8576022d23ff0a58edd4388ecc4f39e324c257bd1f8c82,1,0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0x723a8d7f127fbb5827c34616f04495cacd84722d1f39bf01ab1680bee05634fc,1,0x1295269296e51cd28a3db85fa6728c0e352b5cfd,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0xbbe89a2a65f8c209b8e47279594bbb1d9ffaf267e49bf191a0f391f2e1e69200,1,0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0xf1e1de5331811395d4071ac093f76771a76628a4b3f5eefd8ff6614556eeed80,1,0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0x4edfb47c5ef1324fbe52c38ba26f9c2ff1c6cd260c18a4292d9d54c765e19cba,1,0x2fa801da750904fc348ccb9315a0b892377d4359,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0xe07825bf6e01b83fd8c882ca56a056588fb37ad2b4222aec7a97c90ea36aebba,2,0x40604cb1f958c03bea0b18aa43e4cb0d62f33ec3; 0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0xf89c3165a2569aa31aa6beff05ac2ae347d991157cd0a3cc001f9a6f28a07023,1,0x4c358f830cea4ee26a301ed0faef418bc149fcfe,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0xa384e311603512fbef9d684c2af7cbe39f212bb3b6e812336466614e740c6a2b,1,0x731a241767938bb23d1b2fac4c9cd2f3cea9033f,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0x890b62045fe15bc0dd84f10f975e6a1d1426c3fff4eddf612cbe0a0ce59c9166,1,0x751a2b86cab503496efd325c8344e10159349ea1,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0x1372010d3fa36f073a80004eac70f9c5861292e8dd993d4a8c1698d4ebc18023,1,0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0xd753b07cc55d8c54adfb9fab38227e2964ab989086207cadadeb36e372120648,1,0xa6f8220dfac596335d6b6719f2a2c7b451cc316d,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
