proxyWalletsFromRedeemActivity,selectedWalletRole,burnStatus,from,to,operator,eventType,conditionId,marketRelationType,marketQuestion,marketSlug,tokenSide,tokenId,valueRaw,valueAssuming6Decimals,blockNumber,blockTimestampUTC,settlementBucket,transactionHash,logIndex
0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,FROM_SELECTED_WALLET,NOT_BURN,0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,0xada100db00ca00073811820692005400218fce1f,0xada100db00ca00073811820692005400218fce1f,TransferBatch,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_JUNE_15_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,YES,5904694069529905826680225678119990013628860098514322777023141327768111791078,12032443888,12032.443888,88691820,2026-06-18T00:32:05+00:00,Before final settlement,0x65049bfa07ee33674416199de2f3c1dc743a9ab71f882c41f1b0bf9e83af8cc5,1174
0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,NO_SELECTED_WALLET_DIRECTLY_IN_THIS_LOG,BURN_TO_ZERO_ADDRESS,0xada100db00ca00073811820692005400218fce1f,0x0000000000000000000000000000000000000000,0xada100db00ca00073811820692005400218fce1f,TransferSingle,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_JUNE_15_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,YES,5904694069529905826680225678119990013628860098514322777023141327768111791078,12032443888,12032.443888,88691820,2026-06-18T00:32:05+00:00,Before final settlement,0x65049bfa07ee33674416199de2f3c1dc743a9ab71f882c41f1b0bf9e83af8cc5,1175
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,NO_SELECTED_WALLET_DIRECTLY_IN_THIS_LOG,NOT_BURN,0x000a2d860f56465e68ba87c610142c0ce54cca55,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,TransferBatch,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_JUNE_15_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,YES,5904694069529905826680225678119990013628860098514322777023141327768111791078,16000000,16.0,88691826,2026-06-18T00:32:14+00:00,Before final settlement,0x3471ca5feee6ef2cb3b16441097df287b7e33021d892d3fed551c5b1e5c5fa66,1322
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,NO_SELECTED_WALLET_DIRECTLY_IN_THIS_LOG,BURN_TO_ZERO_ADDRESS,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,0x0000000000000000000000000000000000000000,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,TransferSingle,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_JUNE_15_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,YES,5904694069529905826680225678119990013628860098514322777023141327768111791078,16000000,16.0,88691826,2026-06-18T00:32:14+00:00,Before final settlement,0x3471ca5feee6ef2cb3b16441097df287b7e33021d892d3fed551c5b1e5c5fa66,1323
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,NO_SELECTED_WALLET_DIRECTLY_IN_THIS_LOG,NOT_BURN,0x00355d272663f36fd01aa364c55cd750bef24f9d,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,TransferBatch,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_JUNE_15_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,YES,5904694069529905826680225678119990013628860098514322777023141327768111791078,7142856,7.142856,88691826,2026-06-18T00:32:14+00:00,Before final settlement,0x3471ca5feee6ef2cb3b16441097df287b7e33021d892d3fed551c5b1e5c5fa66,1332
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,NO_SELECTED_WALLET_DIRECTLY_IN_THIS_LOG,BURN_TO_ZERO_ADDRESS,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,0x0000000000000000000000000000000000000000,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,TransferSingle,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_JUNE_15_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,YES,5904694069529905826680225678119990013628860098514322777023141327768111791078,7142856,7.142856,88691826,2026-06-18T00:32:14+00:00,Before final settlement,0x3471ca5feee6ef2cb3b16441097df287b7e33021d892d3fed551c5b1e5c5fa66,1333
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,NO_SELECTED_WALLET_DIRECTLY_IN_THIS_LOG,NOT_BURN,0x01adea599a865a092b51ee4573581a75fc1390f6,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,TransferBatch,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_JUNE_15_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,YES,5904694069529905826680225678119990013628860098514322777023141327768111791078,2875622812,2875.622812,88691826,2026-06-18T00:32:14+00:00,Before final settlement,0x3471ca5feee6ef2cb3b16441097df287b7e33021d892d3fed551c5b1e5c5fa66,1342
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,NO_SELECTED_WALLET_DIRECTLY_IN_THIS_LOG,BURN_TO_ZERO_ADDRESS,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,0x0000000000000000000000000000000000000000,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,TransferSingle,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_JUNE_15_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,YES,5904694069529905826680225678119990013628860098514322777023141327768111791078,2875622812,2875.622812,88691826,2026-06-18T00:32:14+00:00,Before final settlement,0x3471ca5feee6ef2cb3b16441097df287b7e33021d892d3fed551c5b1e5c5fa66,1343
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,NO_SELECTED_WALLET_DIRECTLY_IN_THIS_LOG,NOT_BURN,0x01aff7ea3b687f87ce8ffdf7d0c36be13e57d6fb,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,TransferBatch,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_JUNE_15_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,YES,5904694069529905826680225678119990013628860098514322777023141327768111791078,7157033,7.157033,88691826,2026-06-18T00:32:14+00:00,Before final settlement,0x3471ca5feee6ef2cb3b16441097df287b7e33021d892d3fed551c5b1e5c5fa66,1352
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,NO_SELECTED_WALLET_DIRECTLY_IN_THIS_LOG,BURN_TO_ZERO_ADDRESS,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,0x0000000000000000000000000000000000000000,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,TransferSingle,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_JUNE_15_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,YES,5904694069529905826680225678119990013628860098514322777023141327768111791078,7157033,7.157033,88691826,2026-06-18T00:32:14+00:00,Before final settlement,0x3471ca5feee6ef2cb3b16441097df287b7e33021d892d3fed551c5b1e5c5fa66,1353
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,NO_SELECTED_WALLET_DIRECTLY_IN_THIS_LOG,NOT_BURN,0x01c0d28e00b1a9d01d5690d8cdde48844896bd7c,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,TransferBatch,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_JUNE_15_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,YES,5904694069529905826680225678119990013628860098514322777023141327768111791078,5636793,5.636793,88691826,2026-06-18T00:32:14+00:00,Before final settlement,0x3471ca5feee6ef2cb3b16441097df287b7e33021d892d3fed551c5b1e5c5fa66,1363
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,NO_SELECTED_WALLET_DIRECTLY_IN_THIS_LOG,BURN_TO_ZERO_ADDRESS,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,0x0000000000000000000000000000000000000000,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,TransferSingle,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_JUNE_15_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,YES,5904694069529905826680225678119990013628860098514322777023141327768111791078,5636793,5.636793,88691826,2026-06-18T00:32:14+00:00,Before final settlement,0x3471ca5feee6ef2cb3b16441097df287b7e33021d892d3fed551c5b1e5c5fa66,1364
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,NO_SELECTED_WALLET_DIRECTLY_IN_THIS_LOG,NOT_BURN,0x033ac9f02e37c679be5b4537e9f0f45788707188,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,TransferBatch,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_JUNE_15_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,YES,5904694069529905826680225678119990013628860098514322777023141327768111791078,4882128,4.882128,88691826,2026-06-18T00:32:14+00:00,Before final settlement,0x3471ca5feee6ef2cb3b16441097df287b7e33021d892d3fed551c5b1e5c5fa66,1373
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,NO_SELECTED_WALLET_DIRECTLY_IN_THIS_LOG,BURN_TO_ZERO_ADDRESS,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,0x0000000000000000000000000000000000000000,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,TransferSingle,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_JUNE_15_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,YES,5904694069529905826680225678119990013628860098514322777023141327768111791078,4882128,4.882128,88691826,2026-06-18T00:32:14+00:00,Before final settlement,0x3471ca5feee6ef2cb3b16441097df287b7e33021d892d3fed551c5b1e5c5fa66,1374
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,NO_SELECTED_WALLET_DIRECTLY_IN_THIS_LOG,NOT_BURN,0x0573c5f098d5ee3ad19c7d0e701c48904028877b,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,TransferBatch,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_JUNE_15_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,YES,5904694069529905826680225678119990013628860098514322777023141327768111791078,25311110,25.31111,88691826,2026-06-18T00:32:14+00:00,Before final settlement,0x3471ca5feee6ef2cb3b16441097df287b7e33021d892d3fed551c5b1e5c5fa66,1383
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,NO_SELECTED_WALLET_DIRECTLY_IN_THIS_LOG,BURN_TO_ZERO_ADDRESS,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,0x0000000000000000000000000000000000000000,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,TransferSingle,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_JUNE_15_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,YES,5904694069529905826680225678119990013628860098514322777023141327768111791078,25311110,25.31111,88691826,2026-06-18T00:32:14+00:00,Before final settlement,0x3471ca5feee6ef2cb3b16441097df287b7e33021d892d3fed551c5b1e5c5fa66,1384
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,NO_SELECTED_WALLET_DIRECTLY_IN_THIS_LOG,NOT_BURN,0x057c367652c08ea1a05e5379babae521aa7233fa,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,TransferBatch,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_JUNE_15_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,YES,5904694069529905826680225678119990013628860098514322777023141327768111791078,30000000,30.0,88691826,2026-06-18T00:32:14+00:00,Before final settlement,0x3471ca5feee6ef2cb3b16441097df287b7e33021d892d3fed551c5b1e5c5fa66,1393
