proxyWalletsFromRedeemActivity,selectedWalletRole,tokenContract,from,to,valueRaw,valueAssuming6Decimals,blockNumber,blockTimestampUTC,transactionHash,logIndex
0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,12032443888,12032.443888,88691820,2026-06-18T00:32:05+00:00,0x65049bfa07ee33674416199de2f3c1dc743a9ab71f882c41f1b0bf9e83af8cc5,1179
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,570000000,570.0,88691826,2026-06-18T00:32:14+00:00,0x3471ca5feee6ef2cb3b16441097df287b7e33021d892d3fed551c5b1e5c5fa66,1470
0xb8a47d387beb9ec7fd4baaec05396e9677cea13b,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0xb8a47d387beb9ec7fd4baaec05396e9677cea13b,973188445,973.188445,88691827,2026-06-18T00:32:16+00:00,0x5f82446886659e7a1c5e18aad8cfcabb34f7aefff001046c831a84d29a5d8658,635
0x02e7f29f3e612a95a9ccca7131ce7dd5d56b59e5,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x02e7f29f3e612a95a9ccca7131ce7dd5d56b59e5,7243120668332,7243120.668332,88691827,2026-06-18T00:32:16+00:00,0xae7d0ddc07aeb84978ad920dcba1648d5a3b3489cfd20cfb21f1a1affab0624b,814
0xe90fe094286107ab146138930fb878869702131e,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0xe90fe094286107ab146138930fb878869702131e,22974277,22.974277,88691827,2026-06-18T00:32:16+00:00,0x0cece68da3f198b0148a42b2f2b71c47ce0c80ec011151d3d42ac72bf5dd116d,1241
0x1602856ef17c9b838b2f2b941b9c628cd5eecbf7,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x1602856ef17c9b838b2f2b941b9c628cd5eecbf7,10980005560,10980.00556,88691827,2026-06-18T00:32:16+00:00,0x5abce400e13ff0693a5670a9114314864ce67ca23cf15a3edcc8ab264579f8de,1945
0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,238536194622,238536.194622,88691827,2026-06-18T00:32:16+00:00,0x9c34999275e7ffe94c46a1dc84b45cccb6f2ddd6c08f4fdf10541c77f405a125,2067
0x35e36faa4cf1488d120580302ed1d149be749188,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x35e36faa4cf1488d120580302ed1d149be749188,5095883486,5095.883486,88691827,2026-06-18T00:32:16+00:00,0x180cfdd948f6cc7d902e604c880583dc0f2614ed6b49bb5a38412e727f05763f,2387
0x40604cb1f958c03bea0b18aa43e4cb0d62f33ec3; 0x4099db7f2d394449ccf89c8d42260ecaf1d79fb8,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x40604cb1f958c03bea0b18aa43e4cb0d62f33ec3,98000000000,98000.0,88691827,2026-06-18T00:32:16+00:00,0xc8b12b9f73efae3f14b5c04b20a67852f2c2bc0b1476d18e84248aba91f52d6d,2656
0x40604cb1f958c03bea0b18aa43e4cb0d62f33ec3; 0x4099db7f2d394449ccf89c8d42260ecaf1d79fb8,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x4099db7f2d394449ccf89c8d42260ecaf1d79fb8,4109103648465,4109103.648465,88691827,2026-06-18T00:32:16+00:00,0xc8b12b9f73efae3f14b5c04b20a67852f2c2bc0b1476d18e84248aba91f52d6d,2676
