addressLower,displayAddress,priority,categories,notes,amountSignals,rowSignals,firstUTC,lastUTC,sampleTxs
0x02e7f29f3e612a95a9ccca7131ce7dd5d56b59e5,0x02e7f29f3e612a95a9ccca7131ce7dd5d56b59e5,1,step10_direct_target_and_future_yes_buyer_redeemer;step11_seed_direct_target_and_future_yes_buyer_and_redeemer,BOUGHT_TARGET_AND_FUTURE_MARKETS | Direct YES buyer and redeemer | Step10 direct buyer/redeemer; redemption USDC size 7313660.108332001,7313660.108332001,3,2026-06-18T00:32:16+00:00,2026-06-18T00:32:47+00:00,0x5a23a1c73640380bb0e6913b414f7db358c3f844e4d467fd2d3f403ed503910d; 0x73fab6713d68836586f276aafd6a984e0a0b0dded3df3fdfe6c977ae4e2e6431; 0xae7d0ddc07aeb84978ad920dcba1648d5a3b3489cfd20cfb21f1a1affab0624b
0x1295269296e51cd28a3db85fa6728c0e352b5cfd,0x1295269296e51cd28a3db85fa6728c0e352b5cfd,1,step10_future_only_yes_buyer_redeemer_target_link_unclear;step11_seed_future_only_yes_buyer_and_redeemer_needs_token_path_context;step9b_direct_target_sender_to_future_redeemer,"BOUGHT_FUTURE_MARKETS_ONLY | Related-market YES buyer and redeemer, target-link unclear | Step10 future-only redeemer; redemption USDC size 255137.099994 | Direct target-and-future redeemer sent ERC1155 token to future-only redeemer | Direct target-and-future redeemer sent ERC1155 token to future-only redeemer",255137.099994;6092.37;2.79,2;1;1,2026-06-15T19:27:49.000Z,2026-06-18T00:32:49+00:00,0x723a8d7f127fbb5827c34616f04495cacd84722d1f39bf01ab1680bee05634fc; 0x9c1343bd33ef513e6eb227f34e263546edc43c0a0e5b54580982770a13f32443; 0x2c689782b7b70b356425cf2ef9e0bd626dbb600a01decab503942fbd2ee28737; 0x555d9525d23d8783e82fe81e77b62d90f21daaca2e206fa4759cfa3abf828921
0x1602856ef17c9b838b2f2b941b9c628cd5eecbf7,0x1602856ef17c9b838b2f2b941b9c628cd5eecbf7,1,step10_direct_target_and_future_yes_buyer_redeemer;step11_seed_direct_target_and_future_yes_buyer_and_redeemer,BOUGHT_TARGET_AND_FUTURE_MARKETS | Direct YES buyer and redeemer | Step10 direct buyer/redeemer; redemption USDC size 16980.005559999998,16980.005559999998,2,2026-06-18T00:32:16+00:00,2026-06-18T00:32:49+00:00,0x5abce400e13ff0693a5670a9114314864ce67ca23cf15a3edcc8ab264579f8de; 0xbf27a055effdce61894d95df4c842ef8da022e687e9afe6829f853724180309e
0x2200b75c27835935a40308779b5656c09ab40f2d,0x2200b75c27835935a40308779b5656c09ab40f2d,1,step10_direct_target_and_future_yes_buyer_redeemer;step11_seed_direct_target_and_future_yes_buyer_and_redeemer,BOUGHT_TARGET_AND_FUTURE_MARKETS | Direct YES buyer and redeemer | Step10 direct buyer/redeemer; redemption USDC size 40342.895059,40342.895059,1,2026-06-18T00:32:16+00:00,2026-06-18T00:32:16+00:00,0x92a78b5c3611315a9e63d619929dc832bc9aff51d070e9d9124ba5f984d261f7
0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,1,step10_direct_target_and_future_yes_buyer_redeemer;step11_seed_direct_target_and_future_yes_buyer_and_redeemer;step9b_counterparty_direct_target_and_future_redeemer_source;step9b_future_redeemer_recipient_from_direct_target_redeemer,BOUGHT_TARGET_AND_FUTURE_MARKETS | Direct YES buyer and redeemer | Step10 direct buyer/redeemer; redemption USDC size 897259.814001 | Received ERC1155 from 0xebc6257296364265b17cB6e2D605C66D14fDd45f | direct_target_and_future_redeemer_source; walletsReached=1; tokenCount=1,897259.814001;718.83;718.83,3;1;1,2026-06-17T18:09:13.000Z,2026-06-18T00:32:47+00:00,0x15b6b8db66af7362b7bd3d2a95670b6cfe73a0214063234f11d94bd6b30983c9; 0x9c34999275e7ffe94c46a1dc84b45cccb6f2ddd6c08f4fdf10541c77f405a125; 0xf1e1de5331811395d4071ac093f76771a76628a4b3f5eefd8ff6614556eeed80; 0xfee5b323b49cefe5aad6cf0c770df390cfe347cfc22e9f53ee1bf07e18d9eac5
0x2fa801da750904fc348ccb9315a0b892377d4359,0x2fa801da750904fc348ccb9315a0b892377d4359,1,step10_direct_target_and_future_yes_buyer_redeemer;step11_seed_direct_target_and_future_yes_buyer_and_redeemer,BOUGHT_TARGET_AND_FUTURE_MARKETS | Direct YES buyer and redeemer | Step10 direct buyer/redeemer; redemption USDC size 1021.3186530000004,1021.3186530000003,6,2026-06-18T00:32:16+00:00,2026-06-18T00:38:37+00:00,0x335e6cb0e1fc7784ffed472a6676dc77771ff876dd7cfa49025e8c5d90031b8a; 0x458529b0aea98794cc0ef29a0632220c57e21db3ca0ccff7e28c73dcc020c26a; 0x4edfb47c5ef1324fbe52c38ba26f9c2ff1c6cd260c18a4292d9d54c765e19cba; 0x618fa3ae162ff177d7cb7eba58ad8c215fd1a13a0d0f9885829e51faed9175f4; 0x9f2b1c59530243ac089f22a29efd05a94bb89839b20abfc3766515216cf339b4
0x35e36faa4cf1488d120580302ed1d149be749188,0x35e36faa4cf1488d120580302ed1d149be749188,1,step10_direct_target_and_future_yes_buyer_redeemer;step11_seed_direct_target_and_future_yes_buyer_and_redeemer;step9b_counterparty_direct_target_and_future_redeemer_source;step9b_future_redeemer_recipient_from_direct_target_redeemer,BOUGHT_TARGET_AND_FUTURE_MARKETS | Direct YES buyer and redeemer | Step10 direct buyer/redeemer; redemption USDC size 10110.920150999998 | Received ERC1155 from 0x5BB0De4E97698184eaD80C80cb17A26cD6F6814B | direct_target_and_future_redeemer_source; walletsReached=1; tokenCount=1,10110.920150999998;1333.15;1333.15,2;1;1,2026-06-16T05:26:21.000Z,2026-06-18T00:32:47+00:00,0x180cfdd948f6cc7d902e604c880583dc0f2614ed6b49bb5a38412e727f05763f; 0x335e6cb0e1fc7784ffed472a6676dc77771ff876dd7cfa49025e8c5d90031b8a; 0xf0101f8fada7730a0811bd581cf19e449f695ea41d20a2df11de376c304800d0
0x3670279e844f5005d7ed8cc37ca562eaadef34f9,0x3670279e844f5005d7ed8cc37ca562eaadef34f9,1,step10_direct_target_and_future_yes_buyer_redeemer;step11_seed_direct_target_and_future_yes_buyer_and_redeemer,BOUGHT_TARGET_AND_FUTURE_MARKETS | Direct YES buyer and redeemer | Step10 direct buyer/redeemer; redemption USDC size 174529.9594,174529.9594,3,2026-06-18T00:32:47+00:00,2026-06-18T00:38:37+00:00,0x335e6cb0e1fc7784ffed472a6676dc77771ff876dd7cfa49025e8c5d90031b8a; 0xd5354f57043236d1deeea58b07b5ec889ec3cb471739726fa832dec57f9f6f95; 0xf780d706ddf33cbb9f1fefbf8d5f739fbf6b54c54ca7c82504f6f10bb6a48107
0x40604cb1f958c03bea0b18aa43e4cb0d62f33ec3,0x40604cb1f958c03bea0b18aa43e4cb0d62f33ec3,1,step10_direct_target_and_future_yes_buyer_redeemer;step11_seed_direct_target_and_future_yes_buyer_and_redeemer,BOUGHT_TARGET_AND_FUTURE_MARKETS | Direct YES buyer and redeemer | Step10 direct buyer/redeemer; redemption USDC size 98150.55,98150.55,2,2026-06-18T00:32:16+00:00,2026-06-18T00:32:22+00:00,0xc8b12b9f73efae3f14b5c04b20a67852f2c2bc0b1476d18e84248aba91f52d6d; 0xe07825bf6e01b83fd8c882ca56a056588fb37ad2b4222aec7a97c90ea36aebba
0x4099db7f2d394449ccf89c8d42260ecaf1d79fb8,0x4099db7f2d394449ccf89c8d42260ecaf1d79fb8,1,step10_future_only_yes_buyer_redeemer_target_link_unclear;step11_seed_future_only_yes_buyer_and_redeemer_needs_token_path_context;step9b_direct_target_sender_to_future_redeemer,"BOUGHT_FUTURE_MARKETS_ONLY | Related-market YES buyer and redeemer, target-link unclear | Step10 future-only redeemer; redemption USDC size 4975767.648465 | Direct target-and-future redeemer sent ERC1155 token to future-only redeemer | Direct target-and-future redeemer sent ERC1155 token to future-only redeemer | Direct target-and-future redeemer sent ERC1155 token to future-only redeemer",4975767.648465;14979.93;674.55;18.13,4;1;1;1,2026-06-17T00:43:02.000Z,2026-06-18T00:38:37+00:00,0x618fa3ae162ff177d7cb7eba58ad8c215fd1a13a0d0f9885829e51faed9175f4; 0x71d0e2644e6f222d22f474ccad9f2aeca96e8bd6f930c23d18959ca5b43ec205; 0xc8b12b9f73efae3f14b5c04b20a67852f2c2bc0b1476d18e84248aba91f52d6d; 0xd5354f57043236d1deeea58b07b5ec889ec3cb471739726fa832dec57f9f6f95; 0x1fddc3eb05a2ded56d410539e2cc30e87985f575c5586816dc39ed41acb931bc
