proxyWallet,step11E_priority,step11E_priority_reason,pattern,uniqueMarketsBoughtYES,targetMarketYESBuyCount,futureMarketYESBuyCount,targetMarketYESNotionalUSDC,futureMarketYESNotionalUSDC,totalYESNotionalUSDC,relevantYESBuyRows,relevantTargetYESBuyRows,relevantFutureYESBuyRows,relevantYESBuyNotionalUSDC,firstRelevantYESBuyUTC,lastRelevantYESBuyUTC,earliestYESBuyUTC,latestYESBuyUTC,names,pseudonyms
0x5bb0de4e97698184ead80c80cb17a26cd6f6814b,1,future-only YES buyer with at least 100k notional exposure,BOUGHT_FUTURE_MARKETS_ONLY,2,0,10,0.0,1109998.89,1109998.89,10,0,10,1109998.89,2026-06-17T07:50:59+00:00,2026-06-17T07:58:19+00:00,2026-06-17T07:50:59+00:00,2026-06-17T07:58:19+00:00,bobe2.1,Pointless-Motherinlaw
0x02e7f29f3e612a95a9ccca7131ce7dd5d56b59e5,1,target-market YES buyer,BOUGHT_TARGET_AND_FUTURE_MARKETS,3,46,38,1026532.33597,70398.36112,1096930.69709,84,46,38,1096930.69709,2026-06-17T19:30:38+00:00,2026-06-18T00:23:47+00:00,2026-06-17T19:30:38+00:00,2026-06-18T00:23:47+00:00,CAR-GangVersion,Ancient-Ramie
0x4099db7f2d394449ccf89c8d42260ecaf1d79fb8,1,future-only YES buyer with at least 100k notional exposure,BOUGHT_FUTURE_MARKETS_ONLY,3,0,5,0.0,859472.03304,859472.03304,5,0,5,859472.0330400001,2026-06-17T07:56:41+00:00,2026-06-17T07:59:29+00:00,2026-06-17T07:56:41+00:00,2026-06-17T07:59:29+00:00,PowellTheKing,Windy-Guard-Cria
0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,1,target-market YES buyer,BOUGHT_TARGET_AND_FUTURE_MARKETS,5,13,61,25535.59884,682471.658893,708007.257733,70,13,57,707998.36975,2026-06-17T15:13:43+00:00,2026-06-18T00:23:47+00:00,2026-04-22T14:01:36+00:00,2026-06-18T00:23:47+00:00,debased,Broken-Dogwood
0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,1,future-only YES buyer with at least 100k notional exposure,BOUGHT_FUTURE_MARKETS_ONLY,6,0,75,0.0,674779.578004,674779.578004,19,0,19,673479.57813,2026-06-17T07:56:41+00:00,2026-06-17T18:13:23+00:00,2026-05-08T23:48:34+00:00,2026-06-17T18:13:23+00:00,aenews2,Sociable-Rooster
0x4c358f830cea4ee26a301ed0faef418bc149fcfe,1,future-only YES buyer with at least 100k notional exposure,BOUGHT_FUTURE_MARKETS_ONLY,2,0,57,0.0,670170.30334,670170.30334,57,0,57,670170.30334,2026-06-17T14:56:11+00:00,2026-06-17T17:49:17+00:00,2026-06-17T14:56:11+00:00,2026-06-17T17:49:17+00:00,FengfengHUop,Delightful-Forager
0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,1,future-only YES buyer with at least 100k notional exposure,BOUGHT_FUTURE_MARKETS_ONLY,2,0,4,0.0,573725.0,573725.0,4,0,4,573725.0,2026-06-17T07:56:41+00:00,2026-06-17T07:58:19+00:00,2026-06-17T07:56:41+00:00,2026-06-17T07:58:19+00:00,elmcap2,Flashy-Label
0xa012e12645cbba5d03320b1d5ec20c5ef0a26e3e,1,target-market YES buyer,BOUGHT_TARGET_MARKET_ONLY,1,32,0,499500.0,0.0,499500.0,32,32,0,499500.0,2026-06-17T22:27:07+00:00,2026-06-17T22:51:55+00:00,2026-06-17T22:27:07+00:00,2026-06-17T22:51:55+00:00,booltrue,Awful-Ash
0x88edd092d799556111e57ff3b2107e24dd406cfb,1,target-market YES buyer,BOUGHT_TARGET_AND_FUTURE_MARKETS,2,20,17,237277.25523,115322.73183,352599.98706,37,20,17,352599.98706,2026-06-17T23:08:49+00:00,2026-06-18T00:15:41+00:00,2026-06-17T23:08:49+00:00,2026-06-18T00:15:41+00:00,cooler-,Blind-Rite
0xd189664c5308903476f9f079820431e4fd7d06f4,1,future-only YES buyer with at least 100k notional exposure,BOUGHT_FUTURE_MARKETS_ONLY,3,0,95,0.0,314149.991702,314149.991702,95,0,95,314149.99170199997,2026-06-16T23:53:38+00:00,2026-06-17T17:25:29+00:00,2026-06-16T23:53:38+00:00,2026-06-17T17:25:29+00:00,rwo,Smart-Compassion
0xebc6257296364265b17cb6e2d605c66d14fdd45f,1,future-only YES buyer with at least 100k notional exposure,BOUGHT_FUTURE_MARKETS_ONLY,2,0,16,0.0,309221.14834,309221.14834,16,0,16,309221.14834,2026-06-17T16:36:05+00:00,2026-06-17T18:09:13+00:00,2026-06-17T16:36:05+00:00,2026-06-17T18:09:13+00:00,NIRVANA87,Nonstop-Reef
0x1295269296e51cd28a3db85fa6728c0e352b5cfd,1,future-only YES buyer with at least 100k notional exposure,BOUGHT_FUTURE_MARKETS_ONLY,2,0,10,0.0,254162.198308,254162.198308,10,0,10,254162.198308,2026-06-17T18:12:40+00:00,2026-06-17T18:43:55+00:00,2026-06-17T18:12:40+00:00,2026-06-17T18:43:55+00:00,FlyingPlaty,Sugary-Concentration
0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,1,future-only YES buyer with at least 100k notional exposure,BOUGHT_FUTURE_MARKETS_ONLY,5,0,96,0.0,231901.73646,231901.73646,96,0,96,231901.73646,2026-06-16T13:11:01+00:00,2026-06-18T00:33:05+00:00,2026-06-16T13:11:01+00:00,2026-06-18T00:33:05+00:00,classified,Personal-Bake
0x84571f1bf97a5c710cbe51daff2dd4556cc887fd,1,target-market YES buyer,BOUGHT_TARGET_MARKET_ONLY,1,50,0,213936.849,0.0,213936.849,50,50,0,213936.849,2026-06-17T23:32:52+00:00,2026-06-17T23:38:29+00:00,2026-06-17T23:32:52+00:00,2026-06-17T23:38:29+00:00,ZhangMuZhi..,Tattered-Columnist
0xa102b434ce441a3119e146f75ed6276ee1a836d9,1,target-market YES buyer,BOUGHT_TARGET_MARKET_ONLY,1,18,0,204876.33858,0.0,204876.33858,18,18,0,204876.33858,2026-06-18T00:25:40+00:00,2026-06-18T00:28:04+00:00,2026-06-18T00:25:40+00:00,2026-06-18T00:28:04+00:00,tf2,Drafty-Native
0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,1,target-market YES buyer,BOUGHT_TARGET_AND_FUTURE_MARKETS,4,4,16,20511.90756,180150.58797,200662.49553,20,4,16,200662.49553000001,2026-06-17T08:27:10+00:00,2026-06-18T00:19:07+00:00,2026-06-17T08:27:10+00:00,2026-06-18T00:19:07+00:00,Ordon,Sarcastic-Commandment
0x751a2b86cab503496efd325c8344e10159349ea1,1,future-only YES buyer with at least 100k notional exposure,BOUGHT_FUTURE_MARKETS_ONLY,2,0,27,0.0,174368.09736,174368.09736,27,0,27,174368.09736,2026-06-17T21:09:05+00:00,2026-06-17T23:49:37+00:00,2026-06-17T21:09:05+00:00,2026-06-17T23:49:37+00:00,Sharky6999,Tremendous-Closet
