walletLower,wallet,sourceGroups,step11F_priority,patterns,priorityReasons,totalYESNotionalUSDC,targetMarketYESNotionalUSDC,futureMarketYESNotionalUSDC,firstRelevantYESBuyUTC,redeemActivityUSDCSize,step11DTokenPathRoles
0x02e7f29f3e612a95a9ccca7131ce7dd5d56b59e5,0x02e7f29f3e612a95a9ccca7131ce7dd5d56b59e5,YES_BUYER_PRIORITY; STEP10_REDEEMER,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer; Direct YES buyer and redeemer,1096930.69709,1026532.33597,70398.36112,2026-06-17T19:30:38+00:00,7313660.108332001,
0x4c358f830cea4ee26a301ed0faef418bc149fcfe,0x4c358f830cea4ee26a301ed0faef418bc149fcfe,YES_BUYER_PRIORITY; STEP10_REDEEMER; STEP11D_FUTURE_REDEEMER_RECEIVER,1,BOUGHT_FUTURE_MARKETS_ONLY; future-only redeemer token-path lead,"future-only YES buyer with at least 100k notional exposure; Related-market YES buyer and redeemer, target-link unclear; No direct target-source or future-source path identified in Step 11D",670170.30334,0.0,670170.30334,2026-06-17T14:56:11+00:00,6186261.47,token receiver / future redeemer
0x4099db7f2d394449ccf89c8d42260ecaf1d79fb8,0x4099db7f2d394449ccf89c8d42260ecaf1d79fb8,YES_BUYER_PRIORITY; STEP10_REDEEMER; STEP11D_FUTURE_REDEEMER_RECEIVER,1,BOUGHT_FUTURE_MARKETS_ONLY; future-only redeemer token-path lead,"future-only YES buyer with at least 100k notional exposure; Related-market YES buyer and redeemer, target-link unclear; Token path lead: received from direct target-and-future buyer/redeemer",859472.03304,0.0,859472.03304,2026-06-17T07:56:41+00:00,4975767.648465,token receiver / future redeemer
0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,YES_BUYER_PRIORITY; STEP10_REDEEMER; STEP11D_FUTURE_REDEEMER_RECEIVER,1,BOUGHT_FUTURE_MARKETS_ONLY; future-only redeemer token-path lead,"future-only YES buyer with at least 100k notional exposure; Related-market YES buyer and redeemer, target-link unclear; Token path lead: received from direct target-and-future buyer/redeemer",573725.0,0.0,573725.0,2026-06-17T07:56:41+00:00,2672126.9963720003,token receiver / future redeemer
0x5bb0de4e97698184ead80c80cb17a26cd6f6814b,0x5bb0de4e97698184ead80c80cb17a26cd6f6814b,YES_BUYER_PRIORITY; STEP10_REDEEMER; STEP11D_FUTURE_REDEEMER_RECEIVER,1,BOUGHT_FUTURE_MARKETS_ONLY; future-only redeemer token-path lead,"future-only YES buyer with at least 100k notional exposure; Related-market YES buyer and redeemer, target-link unclear; Token path lead: received from direct target-and-future buyer/redeemer",1109998.89,0.0,1109998.89,2026-06-17T07:50:59+00:00,1111110.0,token receiver / future redeemer
0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,YES_BUYER_PRIORITY; STEP10_REDEEMER; STEP11D_FUTURE_REDEEMER_RECEIVER,1,BOUGHT_FUTURE_MARKETS_ONLY; future-only redeemer token-path lead,"future-only YES buyer with at least 100k notional exposure; Related-market YES buyer and redeemer, target-link unclear; Token path lead: received from direct target-and-future buyer/redeemer",674779.578004,0.0,674779.578004,2026-06-17T07:56:41+00:00,1071745.417429,token receiver / future redeemer
0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,YES_BUYER_PRIORITY; STEP10_REDEEMER; STEP11D_TOKEN_SOURCE,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer; Direct YES buyer and redeemer; direct_target_and_future_yes_buyer_and_redeemer,708007.257733,25535.59884,682471.658893,2026-06-17T15:13:43+00:00,897259.814001,token source to future redeemer
0x88edd092d799556111e57ff3b2107e24dd406cfb,0x88edd092d799556111e57ff3b2107e24dd406cfb,YES_BUYER_PRIORITY; STEP10_REDEEMER; STEP11D_TOKEN_SOURCE,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer; Direct YES buyer and redeemer; direct_target_and_future_yes_buyer_and_redeemer,352599.98706,237277.25523,115322.73183,2026-06-17T23:08:49+00:00,296369.94,token source to future redeemer
0x7c3db723f1d4d8cb9c550095203b686cb11e5c6b,0x7c3db723f1d4d8cb9c550095203b686cb11e5c6b,YES_BUYER_PRIORITY; STEP10_REDEEMER,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer; Direct YES buyer and redeemer,77712.40734,77621.446,90.96134,2026-06-17T23:45:31+00:00,262889.96443,
0xebc6257296364265b17cb6e2d605c66d14fdd45f,0xebc6257296364265b17cb6e2d605c66d14fdd45f,YES_BUYER_PRIORITY; STEP10_REDEEMER; STEP11D_FUTURE_REDEEMER_RECEIVER,1,BOUGHT_FUTURE_MARKETS_ONLY; future-only redeemer token-path lead,"future-only YES buyer with at least 100k notional exposure; Related-market YES buyer and redeemer, target-link unclear; Token path lead: received from direct target-and-future buyer/redeemer",309221.14834,0.0,309221.14834,2026-06-17T16:36:05+00:00,257852.0,token receiver / future redeemer
