conditionId,relationType,marketId,question,slug,endDate,questionID,outcomes,clobTokenIds,yesTokenId,noTokenId
0xbbc6689d0f6d57ea42168836712237c7308b3e0118c8914d31b6126d0f3254c5,RELATED_OR_FUTURE_MARKET,1919417,"US x Iran permanent peace deal by April 22, 2026?",us-x-iran-permanent-peace-deal-by-april-22-2026,2026-04-22T00:00:00Z,0xc1803b659426dddde273d5c6198f5b3835b53d4301e533e0590b42f5a11a00f7,"[""Yes"", ""No""]","[""10355316169421062771540371697837923442956106006258739802114788264214901200573"", ""112998834930140849739317686306046962022222428099467375077336504369963794934957""]",10355316169421062771540371697837923442956106006258739802114788264214901200573,112998834930140849739317686306046962022222428099467375077336504369963794934957
0x084a4aac9da433824013ad192196193d7d1bd8293c0fedc9eb7e687909fd1d0f,RELATED_OR_FUTURE_MARKET,2047426,"US x Iran permanent peace deal by April 24, 2026?",us-x-iran-permanent-peace-deal-by-april-24-2026,2026-04-24T00:00:00Z,0xb29b0b18fb787ac730a67b34ec67ccc90169d14ba0a64d641035e0514e7147a4,"[""Yes"", ""No""]","[""73451767581833755534290283287150634572320766963843705278849195665912417601921"", ""81526178641185308468785014715929124534877997252766637103131165456634740242354""]",73451767581833755534290283287150634572320766963843705278849195665912417601921,81526178641185308468785014715929124534877997252766637103131165456634740242354
0xceb6dfaa2cf5abc9d47ebc867b984a7715104944249274e8a483a2e17473e5f5,RELATED_OR_FUTURE_MARKET,1919421,"US x Iran permanent peace deal by April 30, 2026?",us-x-iran-permanent-peace-deal-by-april-30-2026-925,2026-04-30T00:00:00Z,0xc632d4b9a33b093c15a28a23401e16c438c25debe936c9bc89ea045079893460,"[""Yes"", ""No""]","[""64575112906857627673396031002364315784778510108272214779568803819416675082435"", ""16735391771285941445401615956052324743124272348274952820359859379638645997506""]",64575112906857627673396031002364315784778510108272214779568803819416675082435,16735391771285941445401615956052324743124272348274952820359859379638645997506
0xc5331256bff341491df0656772c4245a99a483c58eeda2faa70fa6bb8b7b0405,RELATED_OR_FUTURE_MARKET,2182248,"US x Iran permanent peace deal by May 8, 2026?",us-x-iran-permanent-peace-deal-by-may-8-2026,2026-05-08T00:00:00Z,0x6cb9189be9949188a731e34de2601886af5f8218ff0687f5b4df5d5360a5c1a9,"[""Yes"", ""No""]","[""53886837528295918199173213040710747917684350390439332312874024244950707854931"", ""29200931906543294012092489208099110567531377765151375566798406927877147242781""]",53886837528295918199173213040710747917684350390439332312874024244950707854931,29200931906543294012092489208099110567531377765151375566798406927877147242781
0x667c01a18ac1efb8300ce2c4d9fd573275cb633344148675beee8e097db193c4,RELATED_OR_FUTURE_MARKET,2182249,"US x Iran permanent peace deal by May 11, 2026?",us-x-iran-permanent-peace-deal-by-may-11-2026,2026-05-11T00:00:00Z,0x6eebf498c00a3c50d0fb4fb22d041889524e90b1842536df2215cea886249dc8,"[""Yes"", ""No""]","[""22816012951780458167668705790296878696108244233480341128638214613962237032260"", ""16992591417835365075987953500891364234765040373305609741753635765150174624197""]",22816012951780458167668705790296878696108244233480341128638214613962237032260,16992591417835365075987953500891364234765040373305609741753635765150174624197
0x2509daa236d3aea83c910be4e00f50027dd72e6fa0d350536d07cd079f58d7ab,RELATED_OR_FUTURE_MARKET,2182250,"US x Iran permanent peace deal by May 13, 2026?",us-x-iran-permanent-peace-deal-by-may-13-2026,2026-05-13T00:00:00Z,0x0292cbca7a1a11ca4ac5057b21b9b3f54a4dc755b4fb5b89241ea5c90d22bb9d,"[""Yes"", ""No""]","[""42668369151459316227719399008269940824030721664501669546980811568526930947689"", ""92656287244508248142836665587276966729287344656350027595890627546675094202484""]",42668369151459316227719399008269940824030721664501669546980811568526930947689,92656287244508248142836665587276966729287344656350027595890627546675094202484
0x1db02ba50e2312a62b4104de691cc7a76065d8d0da40decf93eb1b914a3217b7,RELATED_OR_FUTURE_MARKET,2099029,"US x Iran permanent peace deal by May 15, 2026?",us-x-iran-permanent-peace-deal-by-may-15-2026-144-885-839,2026-05-15T00:00:00Z,0xcc45aa168698958561607c01e306b6f7de8a0c33a36f250bad3aa481d4a0606c,"[""Yes"", ""No""]","[""88304163265734087403223321042172792808390195323159743956352682998398711353447"", ""74106961297441804122404565448852295289442372706468216938279361169799682393163""]",88304163265734087403223321042172792808390195323159743956352682998398711353447,74106961297441804122404565448852295289442372706468216938279361169799682393163
0x53098776eb95dbbd2e899c4fcd787a043ba725f55433948da2fbd00abdfcd3ae,RELATED_OR_FUTURE_MARKET,2297854,"US x Iran permanent peace deal by May 22, 2026?",us-x-iran-permanent-peace-deal-by-may-22-2026,2026-05-22T00:00:00Z,0x1051e60b3ead728826355ed04a6ea3bfdaad3cf6eb7b21bf7b43285c2cea3e1c,"[""Yes"", ""No""]","[""107715390014862406485536118714081498606413437514382660058593986098320182104000"", ""112249977663410173375384821892752109430080117981152352426675515026117039542524""]",107715390014862406485536118714081498606413437514382660058593986098320182104000,112249977663410173375384821892752109430080117981152352426675515026117039542524
0x421bc1929df1429cf2cb94f80c1ce6a3ed0d1f0b7a2749b9890075f94eb549e9,RELATED_OR_FUTURE_MARKET,2324252,"US x Iran permanent peace deal by May 26, 2026?",us-x-iran-permanent-peace-deal-by-may-26-2026,2026-05-26T00:00:00Z,0x82ce31cb3a237d731019dc3185cad793f88631a527e585b22bf3bf6998879d90,"[""Yes"", ""No""]","[""72964978221398605522514751377428383911377976290846845653048953950250638951071"", ""52965156717339871692714186660785951310421831919562520539239006775699853846973""]",72964978221398605522514751377428383911377976290846845653048953950250638951071,52965156717339871692714186660785951310421831919562520539239006775699853846973
0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7,RELATED_OR_FUTURE_MARKET,1962237,"US x Iran permanent peace deal by June 30, 2026?",us-x-iran-permanent-peace-deal-by-june-30-2026-837-641-896-877-363-892-537-597,2026-05-31T00:00:00Z,0xf214eceb5c5761b24a5957a6bff8f01be990b84925eaf38303f98c506602702c,"[""Yes"", ""No""]","[""31867385211987925701696042012772036156561382644688734856312468506547392739862"", ""34730098823282204056880725250863591694415190633560416900548276632326632294207""]",31867385211987925701696042012772036156561382644688734856312468506547392739862,34730098823282204056880725250863591694415190633560416900548276632326632294207
