wallet,sources,sourceFiles,sourceColumns
0x0061f603a457754bae0241f1fb34f0ce6a5e8fd6,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x00b5dc7eb3c4e375117470d9a2b81efc85e6d2f3,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x00be27e4f7227e8080d38822c0d930629d2c8a29,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x01c1e36518078416b10cb2c393f20a500d737a52,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x01c3122407055c357ef098ba8fdc1c5dd8e31687,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x01eebb367efb929e486919508e4df7fedd22c603,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x020ee12d87dba8e0f1cab3f239c36295a68869c1,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x02e7f29f3e612a95a9ccca7131ce7dd5d56b59e5,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x032aa3277e1d7970f0f5c7d66add7af5ace1cf07,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x035fa6cf792ae231501a99b554315ac2b62a33eb,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x03c285cf0a7a6fa571f859303d068475756814e0,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x03d44c21522ad1c5d5af243c290d0a17a3330bb5,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x03f02009d35e9a20cd18ed817d15e3c568d363e0,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x03f2a7e04f2f4bffba70bc4d2fd6e004753616ad,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x046477a08492e67e5d11128a547765df76765915,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x04b81d0480d5899b7d1460fa5036b66415ecdb57,"UMA validation wallets, direct comparison only",uma_vote_validation.csv,eventVoter; workbookStaker
0x0527c28985afe239a351634fe4996dcd73d120b1,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x0561808f2a9bdf861e53666f364f8238f5a44817,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x05d184b066d72cd42a1fe0fb880c3d4a0adbf8c4,"UMA validation wallets, direct comparison only",uma_vote_validation.csv,eventVoter; workbookStaker
0x060b1eb582790cdfa8e56afebfc4fcafcd2081fa,"UMA validation wallets, direct comparison only",uma_vote_validation.csv,eventVoter; workbookStaker
0x06cb73531a43553e31a8ad031026d4b33f1af47f,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x0712c54d501c197913c324666b23139643b8fab9,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x0739beca79df745311196936eb2b768c6ccdaba8,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x07a8e675ab852288ae4fbd3cc9498e87317e6872,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x07d4245464dc4fa05d0b3f084d82482462dc8991,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x083c87f5f6b15a3f921ec5e266e65d4cbb8765f2,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x08730443345e11c078c5b2597ce3c0f06af609e8,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x0886c4a87193c0751f67e5c508f3909f2c8cdd80,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x08ab85cd4836e0cf068594a49ab8dc732c3a3af9,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x0950965ae2d423a3db56c74899dd48d2fa744b03,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x099af188e9c68b91617efe4b09ee8cd90ba4c63d,"UMA validation wallets, direct comparison only",uma_vote_validation.csv,eventCaller; workbookDelegate
0x0a23bd0a78af04a6c692912a9e6c60bc1ac5765f,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x0af38dee8e5e6c31ce573a59bdbf52cca60939f8,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x0afc9a935960948ed35e50ac7639cbb38e840b38,"UMA validation wallets, direct comparison only",uma_vote_validation.csv,eventVoter; workbookStaker
0x0bc5aef547761739846f779f391747a9f9ec8b88,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x0c0e270cf879583d6a0142fc817e05b768d0434e,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x0c8f308a923218bb83ee2c5d6aebfaeeaefe44f0,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x0cd2998bb479699e82bdd1494bb5b5cabd1a3e34,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x0d08ba36dc957430371e4216a74ee373a0af9e62,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x0d2ea4f8d00f92e280b107e3c87f9dc9b05cf1a2,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x0dd7762e2fe09c9ee2f5acdea19c102f7c16d8c2,"UMA validation wallets, direct comparison only",uma_vote_validation.csv,eventCaller; workbookDelegate
