wallet,pattern,uniqueMarketsBoughtYES,targetMarketYESNotionalUSDC,futureMarketYESNotionalUSDC,totalYESNotionalUSDC,earliestYESBuyUTC,latestYESBuyUTC,names,pseudonyms
0x5bb0de4e97698184ead80c80cb17a26cd6f6814b,BOUGHT_FUTURE_MARKETS_ONLY,2,0.0,1109998.89,1109998.89,2026-06-17T07:50:59+00:00,2026-06-17T07:58:19+00:00,bobe2.1,Pointless-Motherinlaw
0x4099db7f2d394449ccf89c8d42260ecaf1d79fb8,BOUGHT_FUTURE_MARKETS_ONLY,3,0.0,859472.03304,859472.03304,2026-06-17T07:56:41+00:00,2026-06-17T07:59:29+00:00,PowellTheKing,Windy-Guard-Cria
0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,BOUGHT_FUTURE_MARKETS_ONLY,6,0.0,674779.578004,674779.578004,2026-05-08T23:48:34+00:00,2026-06-17T18:13:23+00:00,aenews2,Sociable-Rooster
0x4c358f830cea4ee26a301ed0faef418bc149fcfe,BOUGHT_FUTURE_MARKETS_ONLY,2,0.0,670170.30334,670170.30334,2026-06-17T14:56:11+00:00,2026-06-17T17:49:17+00:00,FengfengHUop,Delightful-Forager
0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,BOUGHT_FUTURE_MARKETS_ONLY,2,0.0,573725.0,573725.0,2026-06-17T07:56:41+00:00,2026-06-17T07:58:19+00:00,elmcap2,Flashy-Label
0xd189664c5308903476f9f079820431e4fd7d06f4,BOUGHT_FUTURE_MARKETS_ONLY,3,0.0,314149.991702,314149.991702,2026-06-16T23:53:38+00:00,2026-06-17T17:25:29+00:00,rwo,Smart-Compassion
0xebc6257296364265b17cb6e2d605c66d14fdd45f,BOUGHT_FUTURE_MARKETS_ONLY,2,0.0,309221.14834,309221.14834,2026-06-17T16:36:05+00:00,2026-06-17T18:09:13+00:00,NIRVANA87,Nonstop-Reef
0x1295269296e51cd28a3db85fa6728c0e352b5cfd,BOUGHT_FUTURE_MARKETS_ONLY,2,0.0,254162.198308,254162.198308,2026-06-17T18:12:40+00:00,2026-06-17T18:43:55+00:00,FlyingPlaty,Sugary-Concentration
0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,BOUGHT_FUTURE_MARKETS_ONLY,5,0.0,231901.73646,231901.73646,2026-06-16T13:11:01+00:00,2026-06-18T00:33:05+00:00,classified,Personal-Bake
0x751a2b86cab503496efd325c8344e10159349ea1,BOUGHT_FUTURE_MARKETS_ONLY,2,0.0,174368.09736,174368.09736,2026-06-17T21:09:05+00:00,2026-06-17T23:49:37+00:00,Sharky6999,Tremendous-Closet
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,BOUGHT_FUTURE_MARKETS_ONLY,5,0.0,146383.04724,146383.04724,2026-06-17T19:03:22+00:00,2026-06-17T22:20:56+00:00,farminglabs,Rigid-Filing
0x4ad6cadefae3c28f5b2caa32a99ebba3a614464c,BOUGHT_FUTURE_MARKETS_ONLY,3,0.0,126825.04289,126825.04289,2026-06-17T07:56:41+00:00,2026-06-17T21:54:14+00:00,noreasapa,Unripe-Split
0x02e7f29f3e612a95a9ccca7131ce7dd5d56b59e5,BOUGHT_TARGET_AND_FUTURE_MARKETS,3,1026532.33597,70398.36112,1096930.69709,2026-06-17T19:30:38+00:00,2026-06-18T00:23:47+00:00,CAR-GangVersion,Ancient-Ramie
0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,BOUGHT_TARGET_AND_FUTURE_MARKETS,5,25535.59884,682471.658893,708007.257733,2026-04-22T14:01:36+00:00,2026-06-18T00:23:47+00:00,debased,Broken-Dogwood
0x88edd092d799556111e57ff3b2107e24dd406cfb,BOUGHT_TARGET_AND_FUTURE_MARKETS,2,237277.25523,115322.73183,352599.98706,2026-06-17T23:08:49+00:00,2026-06-18T00:15:41+00:00,cooler-,Blind-Rite
0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,BOUGHT_TARGET_AND_FUTURE_MARKETS,4,20511.90756,180150.58797,200662.49553,2026-06-17T08:27:10+00:00,2026-06-18T00:19:07+00:00,Ordon,Sarcastic-Commandment
0x3670279e844f5005d7ed8cc37ca562eaadef34f9,BOUGHT_TARGET_AND_FUTURE_MARKETS,4,4357.638,129998.992278,134356.630278,2026-06-17T19:27:41+00:00,2026-06-18T00:20:23+00:00,0x3670279e844f5005d7ed8cc37ca562eaadef34f9,0x3670279e844f5005d7ed8cc37ca562eaadef34f9
0x40604cb1f958c03bea0b18aa43e4cb0d62f33ec3,BOUGHT_TARGET_AND_FUTURE_MARKETS,2,97902.0,150.39945,98052.39945,2026-06-17T23:55:11+00:00,2026-06-18T00:00:52+00:00,C03B,Oblong-Riser
0x7c3db723f1d4d8cb9c550095203b686cb11e5c6b,BOUGHT_TARGET_AND_FUTURE_MARKETS,2,77621.446,90.96134,77712.40734,2026-05-08T23:22:03+00:00,2026-06-17T23:50:56+00:00,Car,Peppery-Capital
0xa6f8220dfac596335d6b6719f2a2c7b451cc316d,BOUGHT_TARGET_AND_FUTURE_MARKETS,2,41519.9385,24821.26389,66341.20239,2026-06-17T21:11:34+00:00,2026-06-17T21:21:19+00:00,Imbleciar,Stale-Applewood
0x731a241767938bb23d1b2fac4c9cd2f3cea9033f,BOUGHT_TARGET_AND_FUTURE_MARKETS,3,4995.0,53752.11408,58747.11408,2026-06-17T21:54:14+00:00,2026-06-17T23:46:40+00:00,CoinTrick,Hearty-Coast
0x2200b75c27835935a40308779b5656c09ab40f2d,BOUGHT_TARGET_AND_FUTURE_MARKETS,2,29970.0,5.71065,29975.71065,2026-05-08T22:13:57+00:00,2026-06-17T23:40:20+00:00,BeanC0unter,Squiggly-Cub
0x54b56146656e7eef9da02b3a030c18e06e924b31,BOUGHT_TARGET_AND_FUTURE_MARKETS,2,29970.0,2.4,29972.4,2026-05-09T00:22:03+00:00,2026-06-17T23:51:31+00:00,pup1,Grand-Reasoning
0x7b676d5a6379855773d405fcf19b9aa577651b07,BOUGHT_TARGET_AND_FUTURE_MARKETS,2,849.15,25334.64,26183.79,2026-06-17T11:12:23+00:00,2026-06-18T00:32:16+00:00,Polyfirefly,Rare-Concentrate
0xc4086b708cd3a50880b7069add1a1a80000f4675,BOUGHT_TARGET_AND_FUTURE_MARKETS,2,6993.0,9970.0,16963.0,2026-06-17T07:59:29+00:00,2026-06-18T00:21:19+00:00,JJo,Flashy-Bid
0x35e36faa4cf1488d120580302ed1d149be749188,BOUGHT_TARGET_AND_FUTURE_MARKETS,2,6089.78412,4999.991556,11089.775676,2026-06-17T18:01:05+00:00,2026-06-17T23:50:58+00:00,0x35e36FaA4cf1488D120580302Ed1d149bE749188-1775509899044,Strident-Export
0x144e019d576f112fa767cc77240b98a7f31e5e08,BOUGHT_TARGET_AND_FUTURE_MARKETS,6,844.83432,9528.02149,10372.85581,2026-06-16T11:02:45+00:00,2026-06-18T00:32:29+00:00,newstrat,Splendid-Worshiper
0x615346ac3277f46c5282bd7eb20fc496d55144ab,BOUGHT_TARGET_AND_FUTURE_MARKETS,6,589.33008,9215.15827,9804.48835,2026-06-16T11:02:45+00:00,2026-06-18T00:32:29+00:00,clem913,Inborn-Bust
0x5a892cefe9c01ed049d8e5193136abaf5808c186,BOUGHT_TARGET_AND_FUTURE_MARKETS,6,777.59163,7942.03678,8719.62841,2026-06-16T11:02:45+00:00,2026-06-18T00:32:29+00:00,cestledeuxieme,Quirky-Parenthesis
0x1602856ef17c9b838b2f2b941b9c628cd5eecbf7,BOUGHT_TARGET_AND_FUTURE_MARKETS,2,1498.5,5990.6,7489.1,2026-06-17T18:30:29+00:00,2026-06-17T22:18:55+00:00,takemymoney,Vacant-Freedom
0x631c2b93ff03c21d29b2b73af4ff965e88ea450f,BOUGHT_TARGET_AND_FUTURE_MARKETS,2,973.9251,5419.09835,6393.02345,2026-06-17T07:56:41+00:00,2026-06-18T00:16:05+00:00,dube,Expensive-Thumb
0x1987733c8beae675c544752eafe437968efe6487,BOUGHT_TARGET_AND_FUTURE_MARKETS,6,490.6089,3995.35075,4485.95965,2026-06-16T11:02:45+00:00,2026-06-18T00:32:29+00:00,jordan0073444,Illustrious-Attraction
0x71bd821b2c823cf67ed329abbb6a05d3ab9eac00,BOUGHT_TARGET_AND_FUTURE_MARKETS,6,559.00044,3630.20773,4189.20817,2026-06-16T11:18:01+00:00,2026-06-18T00:32:29+00:00,jordannnnnnnn,Questionable-Carport
