contextWallet,tokenId,incomingRaw,incomingAssuming6Decimals,outgoingRaw,outgoingAssuming6Decimals,directBurnRaw,directBurnAssuming6Decimals,directMintRaw,directMintAssuming6Decimals,netRaw,netAssuming6Decimals,incomingRows,outgoingRows,directBurnRows,directMintRows,firstSeenUTC,lastSeenUTC,flowLabel,sampleTxs
0x0C101db716b0D39F7b7431E7F5eDBC3Cc9adF96a,104718292808309433767402444061650910790437726449955521731268760928480423099204,1000000000,1000,1000000000,1000,0,0,0,0,0,0,7,1,0,0,2026-06-17T19:33:13.000Z,2026-06-18T00:37:34.000Z,received;sent_or_redeemed,0xc767f5562f518b4cbed101a5535ae284c4d8382221d7f1e43840327e7cfa9c9e; 0x5af075ff02c839ddf460cef91a5b2a6d061f11a08e997b54c0ac27cb35d86f09; 0x86b9f69d804ee35c31374a1d215533b6702377caef65184c3b04868f37882558; 0x958a13d5ad6e19d4aa08114457dcf1157c8aa6299336791e77da06f3b020eb84; 0x14064e8763acee49b1f66abf5ba80ef11369bd2c573387dc27a92770d5ad5ea7
0x0C101db716b0D39F7b7431E7F5eDBC3Cc9adF96a,109077864409172129917789250820055245630238807727951185347513063342440711098153,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2026-06-18T00:37:34.000Z,2026-06-18T00:37:34.000Z,sent_or_redeemed,0x14064e8763acee49b1f66abf5ba80ef11369bd2c573387dc27a92770d5ad5ea7
0x0C101db716b0D39F7b7431E7F5eDBC3Cc9adF96a,111620990270843725584626268463694118257247411716640525160088443769687154332947,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2026-06-18T00:38:37.000Z,2026-06-18T00:38:37.000Z,sent_or_redeemed,0x4850a18cde5b03dd8d49afc56bf1f16452b09aa20ed581fed2ff84349e9ed8fa
0x0C101db716b0D39F7b7431E7F5eDBC3Cc9adF96a,18350166227701937595781661497315771588029127293300032980353664093725965421470,1000000000,1000,1000000000,1000,0,0,0,0,0,0,9,1,0,0,2026-06-17T19:43:40.000Z,2026-06-18T00:38:37.000Z,received;sent_or_redeemed,0xb3c1a79d0db86404ecf4b11974e42b7ee9ff9987c8f17de770cd4381ccf147c2; 0x788c079849c9c99470ee021352e2a169e45f4d3c7bb4a0c17c3df80fb53ad07b; 0x9b7465076e2928cc7008805dfc0677a2e7eb8e60967bb57f883ba162c6f060fc; 0xd666a3ffba1ca776077d76cc5ccfbe9d19c8b55a6871103eb8c78179fe6e9348; 0xef7aa59cad11b008de8d16a5f60cebfcbd07e770e8c6013da80226f4ed3a1481
0x0C101db716b0D39F7b7431E7F5eDBC3Cc9adF96a,28291496839879254326626786894419520677254800246510983988977971845743573275150,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2026-06-18T00:32:47.000Z,2026-06-18T00:32:47.000Z,sent_or_redeemed,0x4d64518736d2955a9ffeccb1034e61ad38a472bee8032ee1e44eb61e9f40d845
0x0C101db716b0D39F7b7431E7F5eDBC3Cc9adF96a,31867385211987925701696042012772036156561382644688734856312468506547392739862,135666380000,135666.38,135666380000,135666.38,0,0,0,0,0,0,52,1,0,0,2026-06-17T19:03:22.000Z,2026-06-18T00:32:22.000Z,received;sent_or_redeemed,0xeb899613ca2a407d49037ff805079e3616b1b3e74127802e31251b3f466c7657; 0x78fc731fddbf46deed719117247ca1c8af0ca290f48e02f6e97b93191da6a958; 0x3187fd5338a1beead0bdd71ec0c51d7e3d1ba543de94b3f776f453b891a01fa3; 0x205ed37b789bc815b7d0998cb31bb9f7265e30641fc26cc17499e862b2270131; 0x602962d0eecd3694de09ce9b3082c9010ccb87d27a914fbb3861a9fd433c680c
0x0C101db716b0D39F7b7431E7F5eDBC3Cc9adF96a,34730098823282204056880725250863591694415190633560416900548276632326632294207,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2026-06-18T00:32:22.000Z,2026-06-18T00:32:22.000Z,sent_or_redeemed,0xb60688586fc91e6f6f8576022d23ff0a58edd4388ecc4f39e324c257bd1f8c82
0x0C101db716b0D39F7b7431E7F5eDBC3Cc9adF96a,42929218786041360532688703724922109279260889138815166709480889910338941707084,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2026-06-18T00:38:02.000Z,2026-06-18T00:38:02.000Z,sent_or_redeemed,0x33e1691436af891ddcfc1640d4b499353242db537f50fed426cf8b7bea1f4a16
0x0C101db716b0D39F7b7431E7F5eDBC3Cc9adF96a,5904694069529905826680225678119990013628860098514322777023141327768111791078,570000000,570,570000000,570,0,0,0,0,0,0,2,1,0,0,2026-06-17T20:08:56.000Z,2026-06-18T00:32:14.000Z,received;sent_or_redeemed,0xb4c84920b4ad4640954899992b1e83202f47e1be8c8fb70a98504933b145a02a; 0x8a3285235e7cd551dbe258d2fc418bd8c1eb87faff350aff78843ad20895e031; 0x3471ca5feee6ef2cb3b16441097df287b7e33021d892d3fed551c5b1e5c5fa66
0x0C101db716b0D39F7b7431E7F5eDBC3Cc9adF96a,59855952379545476461266875939089074481171378466995213858930892770855011813551,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2026-06-18T00:32:14.000Z,2026-06-18T00:32:14.000Z,sent_or_redeemed,0x3471ca5feee6ef2cb3b16441097df287b7e33021d892d3fed551c5b1e5c5fa66
