contextWallet,tokenId,direction,counterparty,totalRaw,totalAssuming6Decimals,rows,firstUTC,lastUTC,sampleTxs
0x0C101db716b0D39F7b7431E7F5eDBC3Cc9adF96a,104718292808309433767402444061650910790437726449955521731268760928480423099204,in,0x0e76FC32508f78499057358b892e6bE97111f6A0,887060000,887.06,1,2026-06-17T19:36:23.000Z,2026-06-17T19:36:23.000Z,0x958a13d5ad6e19d4aa08114457dcf1157c8aa6299336791e77da06f3b020eb84
0x0C101db716b0D39F7b7431E7F5eDBC3Cc9adF96a,104718292808309433767402444061650910790437726449955521731268760928480423099204,in,0x5A892CeFE9c01eD049D8e5193136Abaf5808C186,24720000,24.72,2,2026-06-17T19:33:13.000Z,2026-06-17T19:35:34.000Z,0xc767f5562f518b4cbed101a5535ae284c4d8382221d7f1e43840327e7cfa9c9e; 0x5af075ff02c839ddf460cef91a5b2a6d061f11a08e997b54c0ac27cb35d86f09
0x0C101db716b0D39F7b7431E7F5eDBC3Cc9adF96a,104718292808309433767402444061650910790437726449955521731268760928480423099204,in,0x615346ac3277F46C5282bd7eB20Fc496d55144Ab,30090000,30.09,1,2026-06-17T19:33:13.000Z,2026-06-17T19:33:13.000Z,0xc767f5562f518b4cbed101a5535ae284c4d8382221d7f1e43840327e7cfa9c9e
0x0C101db716b0D39F7b7431E7F5eDBC3Cc9adF96a,104718292808309433767402444061650910790437726449955521731268760928480423099204,in,0x71Bd821B2c823Cf67ed329ABbb6A05d3aB9eAC00,18370000,18.37,1,2026-06-17T19:33:13.000Z,2026-06-17T19:33:13.000Z,0xc767f5562f518b4cbed101a5535ae284c4d8382221d7f1e43840327e7cfa9c9e
0x0C101db716b0D39F7b7431E7F5eDBC3Cc9adF96a,104718292808309433767402444061650910790437726449955521731268760928480423099204,in,0xA3c7c8c3c49427D840f7E62e46D202faE2A53e1f,39760000,39.76,2,2026-06-17T19:33:13.000Z,2026-06-17T19:35:35.000Z,0xc767f5562f518b4cbed101a5535ae284c4d8382221d7f1e43840327e7cfa9c9e; 0x86b9f69d804ee35c31374a1d215533b6702377caef65184c3b04868f37882558
0x0C101db716b0D39F7b7431E7F5eDBC3Cc9adF96a,104718292808309433767402444061650910790437726449955521731268760928480423099204,out,0xF3cFb6a6eBFeB51876289Eb235719EB1C65252B0,1000000000,1000,1,2026-06-18T00:37:34.000Z,2026-06-18T00:37:34.000Z,0x14064e8763acee49b1f66abf5ba80ef11369bd2c573387dc27a92770d5ad5ea7
0x0C101db716b0D39F7b7431E7F5eDBC3Cc9adF96a,109077864409172129917789250820055245630238807727951185347513063342440711098153,out,0xF3cFb6a6eBFeB51876289Eb235719EB1C65252B0,0,0,1,2026-06-18T00:37:34.000Z,2026-06-18T00:37:34.000Z,0x14064e8763acee49b1f66abf5ba80ef11369bd2c573387dc27a92770d5ad5ea7
0x0C101db716b0D39F7b7431E7F5eDBC3Cc9adF96a,111620990270843725584626268463694118257247411716640525160088443769687154332947,out,0xF3cFb6a6eBFeB51876289Eb235719EB1C65252B0,0,0,1,2026-06-18T00:38:37.000Z,2026-06-18T00:38:37.000Z,0x4850a18cde5b03dd8d49afc56bf1f16452b09aa20ed581fed2ff84349e9ed8fa
0x0C101db716b0D39F7b7431E7F5eDBC3Cc9adF96a,18350166227701937595781661497315771588029127293300032980353664093725965421470,in,0x144E019d576f112fa767Cc77240b98A7f31e5E08,20820000,20.82,1,2026-06-17T19:43:43.000Z,2026-06-17T19:43:43.000Z,0xcb4028b46dc0016e0b500e775c61b5ab1282cc65daae19d66152c6b1ae7d686d
0x0C101db716b0D39F7b7431E7F5eDBC3Cc9adF96a,18350166227701937595781661497315771588029127293300032980353664093725965421470,in,0x15F7dDBc6FFE08722DDEB64d51E58AeF7b8ca018,146020000,146.02,1,2026-06-17T19:43:40.000Z,2026-06-17T19:43:40.000Z,0xb3c1a79d0db86404ecf4b11974e42b7ee9ff9987c8f17de770cd4381ccf147c2
0x0C101db716b0D39F7b7431E7F5eDBC3Cc9adF96a,18350166227701937595781661497315771588029127293300032980353664093725965421470,in,0x1987733C8BEAe675c544752EAfE437968eFE6487,19160000,19.16,1,2026-06-17T19:43:41.000Z,2026-06-17T19:43:41.000Z,0x788c079849c9c99470ee021352e2a169e45f4d3c7bb4a0c17c3df80fb53ad07b
0x0C101db716b0D39F7b7431E7F5eDBC3Cc9adF96a,18350166227701937595781661497315771588029127293300032980353664093725965421470,in,0x5A892CeFE9c01eD049D8e5193136Abaf5808C186,20870000,20.87,1,2026-06-17T19:43:41.000Z,2026-06-17T19:43:41.000Z,0xef7aa59cad11b008de8d16a5f60cebfcbd07e770e8c6013da80226f4ed3a1481
0x0C101db716b0D39F7b7431E7F5eDBC3Cc9adF96a,18350166227701937595781661497315771588029127293300032980353664093725965421470,in,0x615346ac3277F46C5282bd7eB20Fc496d55144Ab,30830000,30.83,1,2026-06-17T19:43:41.000Z,2026-06-17T19:43:41.000Z,0x9b7465076e2928cc7008805dfc0677a2e7eb8e60967bb57f883ba162c6f060fc
