wallet,walletLower,category,priority,note
0x02e7f29f3e612a95a9ccca7131ce7dd5d56b59e5,0x02e7f29f3e612a95a9ccca7131ce7dd5d56b59e5,direct_target_and_future_yes_buyer_and_redeemer,1,Step10 direct buyer/redeemer; redemption USDC size 7313660.108332001
0x1602856ef17c9b838b2f2b941b9c628cd5eecbf7,0x1602856ef17c9b838b2f2b941b9c628cd5eecbf7,direct_target_and_future_yes_buyer_and_redeemer,1,Step10 direct buyer/redeemer; redemption USDC size 16980.005559999998
0x2200b75c27835935a40308779b5656c09ab40f2d,0x2200b75c27835935a40308779b5656c09ab40f2d,direct_target_and_future_yes_buyer_and_redeemer,1,Step10 direct buyer/redeemer; redemption USDC size 40342.895059
0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,direct_target_and_future_yes_buyer_and_redeemer,1,Step10 direct buyer/redeemer; redemption USDC size 897259.814001
0x2fa801da750904fc348ccb9315a0b892377d4359,0x2fa801da750904fc348ccb9315a0b892377d4359,direct_target_and_future_yes_buyer_and_redeemer,1,Step10 direct buyer/redeemer; redemption USDC size 1021.3186530000004
0x35e36faa4cf1488d120580302ed1d149be749188,0x35e36faa4cf1488d120580302ed1d149be749188,direct_target_and_future_yes_buyer_and_redeemer,1,Step10 direct buyer/redeemer; redemption USDC size 10110.920150999998
0x3670279e844f5005d7ed8cc37ca562eaadef34f9,0x3670279e844f5005d7ed8cc37ca562eaadef34f9,direct_target_and_future_yes_buyer_and_redeemer,1,Step10 direct buyer/redeemer; redemption USDC size 174529.9594
0x40604cb1f958c03bea0b18aa43e4cb0d62f33ec3,0x40604cb1f958c03bea0b18aa43e4cb0d62f33ec3,direct_target_and_future_yes_buyer_and_redeemer,1,Step10 direct buyer/redeemer; redemption USDC size 98150.55
0x54498e4c40b17261479aeaeeddf9cc37bd46992b,0x54498e4c40b17261479aeaeeddf9cc37bd46992b,direct_target_and_future_yes_buyer_and_redeemer,1,Step10 direct buyer/redeemer; redemption USDC size 3403.285562
0x54b56146656e7eef9da02b3a030c18e06e924b31,0x54b56146656e7eef9da02b3a030c18e06e924b31,direct_target_and_future_yes_buyer_and_redeemer,1,Step10 direct buyer/redeemer; redemption USDC size 30000.004452
0x5ccf62ac8155e49bc7d021a1a66e9ef18f5579d7,0x5ccf62ac8155e49bc7d021a1a66e9ef18f5579d7,direct_target_and_future_yes_buyer_and_redeemer,1,Step10 direct buyer/redeemer; redemption USDC size 47500.004481
