proxyWallet,walletPattern,redeemActivityRows,redeemTxCount,redeemActivityUSDCSize,firstRedeemUTC,lastRedeemUTC,sampleRedeemTxs,step10Classification,requiresStep9B
0x4c358f830cea4ee26a301ed0faef418bc149fcfe,BOUGHT_FUTURE_MARKETS_ONLY,3,3,6186261.47,2026-06-18T00:32:16+00:00,2026-06-18T00:32:49+00:00,0x405b624212eecf64743113b5c79f8faf9bd173863b7f013b8f97a940d1f492b2; 0x67b33b9dead3d716a3ec176c2a5613c0becbb9d5b12962fec8848503911a3cbc; 0xf89c3165a2569aa31aa6beff05ac2ae347d991157cd0a3cc001f9a6f28a07023,"Related-market YES buyer and redeemer, target-link unclear","Yes, if trying to prove target-market token path"
0x4099db7f2d394449ccf89c8d42260ecaf1d79fb8,BOUGHT_FUTURE_MARKETS_ONLY,4,4,4975767.648465,2026-06-18T00:32:16+00:00,2026-06-18T00:38:37+00:00,0x618fa3ae162ff177d7cb7eba58ad8c215fd1a13a0d0f9885829e51faed9175f4; 0x71d0e2644e6f222d22f474ccad9f2aeca96e8bd6f930c23d18959ca5b43ec205; 0xc8b12b9f73efae3f14b5c04b20a67852f2c2bc0b1476d18e84248aba91f52d6d; 0xd5354f57043236d1deeea58b07b5ec889ec3cb471739726fa832dec57f9f6f95,"Related-market YES buyer and redeemer, target-link unclear","Yes, if trying to prove target-market token path"
0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,BOUGHT_FUTURE_MARKETS_ONLY,3,3,2672126.9963720003,2026-06-18T00:32:19+00:00,2026-06-18T00:38:37+00:00,0x3c391b34dea1fc21adf3969cb572c0e60c256652f926bb3050609c68df182eec; 0xe028a32b70165c553e02bce1df378e811aff545219a7c10b92838b9c58cf4315; 0xf8c1954370e16d6539124061de95fd0f202eec5664ea6856c75244c4ed64e4fd,"Related-market YES buyer and redeemer, target-link unclear","Yes, if trying to prove target-market token path"
0x5bb0de4e97698184ead80c80cb17a26cd6f6814b,BOUGHT_FUTURE_MARKETS_ONLY,2,2,1111110.0,2026-06-18T00:38:02+00:00,2026-06-18T00:38:37+00:00,0x2a4f9aa0a5ebdc2050227c72f690b0751c656cb7413d376397b341a82bd72706; 0xb97d0acbaa235391ff3938f0f26b8f5b169c65717f2d34d8bfbb4ade4f9b070c,"Related-market YES buyer and redeemer, target-link unclear","Yes, if trying to prove target-market token path"
0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,BOUGHT_FUTURE_MARKETS_ONLY,5,5,1071745.417429,2026-06-18T00:32:16+00:00,2026-06-18T00:38:37+00:00,0x402b1e869bf632beff1568f63436d3fcb2a43dbb2139d47cb75cdf3fbe556861; 0x618fa3ae162ff177d7cb7eba58ad8c215fd1a13a0d0f9885829e51faed9175f4; 0x71d0e2644e6f222d22f474ccad9f2aeca96e8bd6f930c23d18959ca5b43ec205; 0xd5354f57043236d1deeea58b07b5ec889ec3cb471739726fa832dec57f9f6f95; 0xe07825bf6e01b83fd8c882ca56a056588fb37ad2b4222aec7a97c90ea36aebba,"Related-market YES buyer and redeemer, target-link unclear","Yes, if trying to prove target-market token path"
0xebc6257296364265b17cb6e2d605c66d14fdd45f,BOUGHT_FUTURE_MARKETS_ONLY,2,1,257852.0,2026-06-18T00:40:40+00:00,2026-06-18T00:40:40+00:00,0x62936d924e368971d8876b037ea55535b6927ca440a39eaad737e69512cbb4f5,"Related-market YES buyer and redeemer, target-link unclear","Yes, if trying to prove target-market token path"
0x1295269296e51cd28a3db85fa6728c0e352b5cfd,BOUGHT_FUTURE_MARKETS_ONLY,2,2,255137.099994,2026-06-18T00:32:22+00:00,2026-06-18T00:32:49+00:00,0x723a8d7f127fbb5827c34616f04495cacd84722d1f39bf01ab1680bee05634fc; 0x9c1343bd33ef513e6eb227f34e263546edc43c0a0e5b54580982770a13f32443,"Related-market YES buyer and redeemer, target-link unclear","Yes, if trying to prove target-market token path"
0xd189664c5308903476f9f079820431e4fd7d06f4,BOUGHT_FUTURE_MARKETS_ONLY,3,3,230781.918091,2026-06-18T00:37:34+00:00,2026-06-18T00:38:37+00:00,0x3c391b34dea1fc21adf3969cb572c0e60c256652f926bb3050609c68df182eec; 0x7d432832f3eee286acb1e5321ca1bfd7aacebef92b1e220df5511d4b02273942; 0xe028a32b70165c553e02bce1df378e811aff545219a7c10b92838b9c58cf4315,"Related-market YES buyer and redeemer, target-link unclear","Yes, if trying to prove target-market token path"
0x751a2b86cab503496efd325c8344e10159349ea1,BOUGHT_FUTURE_MARKETS_ONLY,2,2,174542.64,2026-06-18T00:32:22+00:00,2026-06-18T00:32:49+00:00,0x6e95dd0f56903aa445a50e498679be2bc43f28aba691e07bf79b36e897190235; 0x890b62045fe15bc0dd84f10f975e6a1d1426c3fff4eddf612cbe0a0ce59c9166,"Related-market YES buyer and redeemer, target-link unclear","Yes, if trying to prove target-market token path"
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,BOUGHT_FUTURE_MARKETS_ONLY,6,6,147236.38,2026-06-18T00:32:14+00:00,2026-06-18T00:38:37+00:00,0x14064e8763acee49b1f66abf5ba80ef11369bd2c573387dc27a92770d5ad5ea7; 0x33e1691436af891ddcfc1640d4b499353242db537f50fed426cf8b7bea1f4a16; 0x3471ca5feee6ef2cb3b16441097df287b7e33021d892d3fed551c5b1e5c5fa66; 0x4850a18cde5b03dd8d49afc56bf1f16452b09aa20ed581fed2ff84349e9ed8fa; 0x4d64518736d2955a9ffeccb1034e61ad38a472bee8032ee1e44eb61e9f40d845,"Related-market YES buyer and redeemer, target-link unclear","Yes, if trying to prove target-market token path"
0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,BOUGHT_FUTURE_MARKETS_ONLY,6,6,80870.946275,2026-06-18T00:32:22+00:00,2026-06-18T06:33:07+00:00,0x6bdd916bbd6c993bfb1ed0a895888c8cbdf2e3eb5e98c3ef6173699c4f9772bc; 0x8c976ae2c0924b62a8ed5aebef22662fe484999cea61ec775b5581f6a1badac1; 0x9c1343bd33ef513e6eb227f34e263546edc43c0a0e5b54580982770a13f32443; 0xbbe89a2a65f8c209b8e47279594bbb1d9ffaf267e49bf191a0f391f2e1e69200; 0xdfe95cd97bb9e554f5b89ad7639a9ddfeb66f949081be7b80f1ff4064900a092,"Related-market YES buyer and redeemer, target-link unclear","Yes, if trying to prove target-market token path"
0x4ad6cadefae3c28f5b2caa32a99ebba3a614464c,BOUGHT_FUTURE_MARKETS_ONLY,1,1,15000.004995,2026-06-18T00:32:49+00:00,2026-06-18T00:32:49+00:00,0x405b624212eecf64743113b5c79f8faf9bd173863b7f013b8f97a940d1f492b2,"Related-market YES buyer and redeemer, target-link unclear","Yes, if trying to prove target-market token path"
