proxyWallet,queriedWallet,timestamp,activityTimeUTC,deadlineBucket,conditionId,marketRelationType,marketQuestion,marketSlug,marketEndDate,type,side,outcome,outcomeIndex,asset,size,usdcSize,price,transactionHash,title,slug,eventSlug,name,pseudonym,bio,isCombo,_collectionTimeUTC
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781497777,2026-06-15T04:29:37+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,SELL,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,2848.59,2347.23816,0.824,0x7eb82300905af9b991902778a1e74faad01ef7865f1ac23d8e1c9ed8a932f368,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781497855,2026-06-15T04:30:55+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,SELL,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,2151.41,1772.76184,0.824,0x541cc7e903eabee18994fd3a9248b832fbcb64cbb6c7da4fe43c2d82ddd600fb,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781499871,2026-06-15T05:04:31+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,2632.308204,2221.668125,0.8440000003130332,0x9a9b3d953cc7efc6a931619524afe445e9f39a01d3c112d8455fd3ff6d1edc1b,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781499873,2026-06-15T05:04:33+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,23.59,19.90996,0.844,0x8161c16c793be418902d9f0b972fc43c354a991fd78bfae1722c8b5e227c3bb8,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781499873,2026-06-15T05:04:33+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,100.0,84.4,0.844,0xb3d7dbac4d5e6a302bfc22659c6d5cc8a933be9f6ee2d3123edf12acf3136f5a,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781499873,2026-06-15T05:04:33+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,244.1,206.0204,0.844,0x144cdb686f6673335383dc97b18e5825d7f459f9bbba92abaf0521008b545af3,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781515509,2026-06-15T09:25:09+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,3000.0,2607.0,0.869,0x94325d74abbcd79067e02927ccbe4e27fdc6c321a60a4bf06f702fbf401c9734,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781540596,2026-06-15T16:23:16+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,1428.2,1356.79,0.95,0x7bb5bd08497527cb48fb76aff34c156ffc343f6badbc94a004951857fe652d1e,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781540601,2026-06-15T16:23:21+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,1603.6,1523.42,0.95,0x432f8447f0a54cb1f7e6502266b8b7fa2b3ec03da8fcf20d982044a7ca0d93a5,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781540629,2026-06-15T16:23:49+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,1300.0,1235.0,0.95,0x6f92773accc279835c884005843280b267c4c4f720779e703a8af9d5dd4d3d5f,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
