txHash,rows,assets,reportedValues,note
0x4594120f7b93d7eadd56e53594f208a3fe3e7b83f715871e59742eac796e017e,1,MATIC,0.0,Review manually as possible post-resolution payout or token transfer candidate
0x2012243fe9262e285c1429a5e1dc06b48ab1049456b7bddf6d84b86542347b9e,1,MATIC,0.0,Review manually as possible post-resolution payout or token transfer candidate
0x62dc39de1e7521889ec8afd9d6e22c4b5ac662499add4b33fecc9f846ea2f2f3,1,MATIC,0.0,Review manually as possible post-resolution payout or token transfer candidate
0x34136fb4bb5aadae5c51002c17c984d3c8607d4ce01cd173194d7fa70c603900,1,MATIC,0.0,Review manually as possible post-resolution payout or token transfer candidate
0xceb991043bbb826a4ba972c910961fcc5641a142509a0175663fcd70b147ad1f,1,MATIC,0.0,Review manually as possible post-resolution payout or token transfer candidate
0x8d0c7cee8e364df63de9a6585535316a655983cbdbed6ef38721c0e13a4b40b3,1,MATIC,0.0,Review manually as possible post-resolution payout or token transfer candidate
0x460df1fd4d5584bba025538db9fd0eadf35016b2bab440b7605e2871d38997b8,2,MATIC;pUSD,7.1027;0.0,Review manually as possible post-resolution payout or token transfer candidate
0x7198d0b82d12f3e722969dd772a860730d1a94122821576ea072ba172e8f043b,2,MATIC;pUSD,26.5684;0.0,Review manually as possible post-resolution payout or token transfer candidate
0xfaca3c6b2a41db0773cef9800f32d83d0f7c875317eaf51f6c3166517b67d1c1,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x293dac14383ff4dbfdbc1f7e5a0d8ae64cf75b811bd43a015e86f9175f069784,2,MATIC;pUSD,14.5;0.0,Review manually as possible post-resolution payout or token transfer candidate
0x55ea3badc65c757592b02983c0e972ea7d72935b41ad543aeb2a9b886c502f9f,1,pUSD,95.0,Review manually as possible post-resolution payout or token transfer candidate
0x2e5f9be36ea78567adae94a97cc2d6360def7474ca99837fee10344433e97e1a,1,pUSD,3110.44644,Review manually as possible post-resolution payout or token transfer candidate
