cluster_id,node_count,edge_count,total_edge_weight,uma_vote_wallet_count,source_wallet_count,uma_vote_wallets,source_wallets,sample_nodes,interpretation
1,38630,76010,38838472.0,2,21,0x54b74d49cbfb92343e4607f260be721b208b4dfb;0x95cd0e455cf41e9f8cca8eee488432f3f10f29b8,0x0e5bd76779e74304d08e759072abf126d87da593;0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1;0x28547904c8fd224074a349a2313ef852e29e0414;0x52764dd44eb51b0d21cd08e5497035f256ea7754;0x52e5a051ecdb72c973efcba97d375e0d1eea920a;0x665dcbe83796b5010279f0a38b197d65e0aaaf35;0x672f13d830d3617efea21c2ec7f4bda5d2c27fcc;0x6fec0fd0e5562f0ca9a709417d4492aadac43be3;0x82a7183f93447d7a8ff5b4bd08eb0d74de266ed8;0x90ca00f0a7c263ce9e8a9af5ad044cd4dc9c1a4b;0xa022ba0a68e11a78348382ff168601012d4d77f8;0xa102b434ce441a3119e146f75ed6276ee1a836d9;0xa4b366ad22fc0d06f1e934ff468e8922431a87b8;0xc33780d8841dd80fe3de83bff881218372c3d42c;0xc4d1a863e9cc45d02ba22d3a1ae9ba7822018ce8;0xc6587b11a2209e46dfe3928b31c5514a8e33b784;0xc8ab97a9089a9ff7e6ef0688e6e591a066946418;0xd08f50a9c65678bf92236c5ebe58028234a7fdb6;0xd1c769317bd15de7768a70d0214cf0bbcc531d2b;0xf1539247af59b16517377a859bcd0d9c7eac162c;0xfcd0eadb24d78e016e88b9e2a7029e349ba6391d,0x0000000000000000000000000000000000001010;0x0000000000001ff3684f28c67538d4d072c22734;0x000000000000647df827ef1d86d9e627f950f6d0;0x00000000000dfd47d200dc26e4e5c79b7e6de984;0x00000000000fb5c9adea0298d729a0cb3823cc07;0x0000000068a03123d976dc620d12063813e20dbe;0x0000000071727de22e5e9d8baf0edac6f37da032;0x000001ac4e512d670c34fedf6c71ce2f49fb160a;0x0000317bec33af037b5fab2028f52d14658f6a56;0x0000a26b00c1f0df003000390027140000faa719;0x0000b210a16894faca70f4d7042d4e650543e8fe;0x0002d0bce68b7e9a3c00daa4931438384074d9a7;0x0006af12cd4dacc450836a0e1ec6ce47365d8c63;0x000767fbf6ae041b01224db6437bc66b95b6eca1;0x00093a689df7fb09a137f9db7102d9e967c85497;0x000a2d860f56465e68ba87c610142c0ce54cca55;0x000c8cb93bb5fd4c9f292c6b4c5f7c021bb6bcf3;0x000e32572f9098c3c892284e3ee774a082798613;0x0010f87e0f2560d94cbd59628cb608a6badfc3a8;0x00121a2d820fef7450e1a0d38516082316f7c0f0;0x001238793481920d989b6788ef6adad8c231faf6;0x0012800b3b50de3707d6ad4f2debc769e264f635;0x0012d3714f98240af4226d2e1f6526c04cdcbff8;0x0012d37937011548c097a9c35a8181e90f3d1067;0x0013392784cae5064d2e54d9ad81c89dfdea9bff;0x0013667ceb2474c99c1a406a1bef55c8cbad3c30;0x0015c5a76490d303e837d79dd5cf6a3825e4d5b0;0x00160644a011ae81b61e8b01c89df36b47b51279;0x00190b35dcaba125697c8d52331b9e676f2a6a7c;0x001a794b0973aa5384ae9b7140a767782c038af8;0x001e7b5eed032d116b6ab50fc9718ddfc993b175;0x001ece6da739c51020eedc06a469bd5039dfc726;0x001f77911f5764173451474488d35565170765d6;0x00201a916e50005f9c7b105d65a1aec0f094f36b;0x002043ddd8747ad3c9b64381c587f71fb1478f44;0x0020cbd643c48eee883e8b3abb46ed0b99cd4d7e;0x00219d89bc4921241605c8c89fb8f19c8b83ac9a;0x00248a5a9c710f2ad52c3146598725383abdc2d6;0x002536f642fa4f1afd82486059b8e30a30b04a12;0x0025bab88cd3dbe9812e4881e6ec241cca600b44;0x0027712078966564379bc31cdc1be6bd4a12029d;0x0027d2457ca0bc9aedab31b55211a62177625c8f;0x00294a52a9adb50220e39ae1181630b5585f0735;0x0029bddce408bb47368b15205f0b01ae80c66881;0x002bae2238468694f6a6d16544e2eedd4aa5779b;0x002ce2d1e564e387d609f3d8b93e3d5e022f359f;0x002d16677a5aea8ed1e148dd68e31bdfe65e88b7;0x002dcd37b0b8fa8db98236e599fe1b90d6272561;0x002f6f3422afbf9ad0dcfac1b81322b2256892f3;0x002f80c04e1807497fe4357c0cd9a23a4b56ac9a,Cluster contains both Polymarket source wallets and UMA vote-related wallets
2,2,1,442.0,2,0,0x2f8320c2dc28681aa5bbf92e79c37be656a7d5f1;0xfc204fcfd2a579157898a212ea25ac98de2b1e1c,,0x2f8320c2dc28681aa5bbf92e79c37be656a7d5f1;0xfc204fcfd2a579157898a212ea25ac98de2b1e1c,Cluster contains only one side or requires review
3,2,1,442.0,2,0,0x2ec20e5aa17f736060356f6b186208d5ce0ab4b4;0xd2a78bb82389d30075144d17e782964918999f7f,,0x2ec20e5aa17f736060356f6b186208d5ce0ab4b4;0xd2a78bb82389d30075144d17e782964918999f7f,Cluster contains only one side or requires review
4,2,1,442.0,2,0,0xb21be96dc75717272402ef97a5cc144544263e3c;0xfec2ade141272f5271febadfca5d21ca30fc04a5,,0xb21be96dc75717272402ef97a5cc144544263e3c;0xfec2ade141272f5271febadfca5d21ca30fc04a5,Cluster contains only one side or requires review
5,2,1,442.0,2,0,0x05d184b066d72cd42a1fe0fb880c3d4a0adbf8c4;0x099af188e9c68b91617efe4b09ee8cd90ba4c63d,,0x05d184b066d72cd42a1fe0fb880c3d4a0adbf8c4;0x099af188e9c68b91617efe4b09ee8cd90ba4c63d,Cluster contains only one side or requires review
6,2,1,442.0,2,0,0x0afc9a935960948ed35e50ac7639cbb38e840b38;0x4b8aef878255f6242606fe5e73d659004f5a34fa,,0x0afc9a935960948ed35e50ac7639cbb38e840b38;0x4b8aef878255f6242606fe5e73d659004f5a34fa,Cluster contains only one side or requires review
7,2,1,442.0,2,0,0x260d417fbd1716b1375cd311f8a6677c4a780b3a;0x487a5bbdc6091be0e27c0e8ea283047d94862538,,0x260d417fbd1716b1375cd311f8a6677c4a780b3a;0x487a5bbdc6091be0e27c0e8ea283047d94862538,Cluster contains only one side or requires review
8,2,1,442.0,2,0,0x8548682e561668a51f99124d998db97ff326e67e;0xc03808e0af01563a739e408268d5517dd7d710f3,,0x8548682e561668a51f99124d998db97ff326e67e;0xc03808e0af01563a739e408268d5517dd7d710f3,Cluster contains only one side or requires review
9,2,1,442.0,2,0,0x6564c6c44ef87e3bb32d7987317869817380340c;0xc636da66cfa5c363c4785835069dcaf85ab91feb,,0x6564c6c44ef87e3bb32d7987317869817380340c;0xc636da66cfa5c363c4785835069dcaf85ab91feb,Cluster contains only one side or requires review
10,2,1,442.0,2,0,0xaf4c815cf13bc8671a2a12bde62aabec24651ccc;0xeaf0f2eab859d1036ec14f8c4a1a7da8e4ef6aff,,0xaf4c815cf13bc8671a2a12bde62aabec24651ccc;0xeaf0f2eab859d1036ec14f8c4a1a7da8e4ef6aff,Cluster contains only one side or requires review
11,2,1,442.0,2,0,0x2108a6d1f32d1a932431d64e3328d1d45bd0520f;0x66ca133ec691ca210251fcd4c963ba220515225a,,0x2108a6d1f32d1a932431d64e3328d1d45bd0520f;0x66ca133ec691ca210251fcd4c963ba220515225a,Cluster contains only one side or requires review
12,2,1,442.0,2,0,0xad0b860664a781cc164fc8ea36f81567ebec2c5f;0xdb2808ed6cf0b8b9686222689cf4f6e88e42b80a,,0xad0b860664a781cc164fc8ea36f81567ebec2c5f;0xdb2808ed6cf0b8b9686222689cf4f6e88e42b80a,Cluster contains only one side or requires review
