source_wallet,source_short,uma_target,uma_target_short,hops,path,path_short,edge_types,lead_score,interpretation
0xa102b434ce441a3119e146f75ed6276ee1a836d9,0xa102b4...a836d9,0x54b74d49cbfb92343e4607f260be721b208b4dfb,0x54b74d...8b4dfb,2,0xa102b434ce441a3119e146f75ed6276ee1a836d9 -> 0x6f8a06447ff6fcf75d803135a7de15ce88c1d4ec -> 0x54b74d49cbfb92343e4607f260be721b208b4dfb,0xa102b4...a836d9 -> 0x6f8a06...c1d4ec -> 0x54b74d...8b4dfb,direct_token_transfer | direct_token_transfer,77.0,Two-hop lead; strong enough for manual review if amounts and timing fit
0x0e5bd76779e74304d08e759072abf126d87da593,0x0e5bd7...7da593,0x54b74d49cbfb92343e4607f260be721b208b4dfb,0x54b74d...8b4dfb,2,0x0e5bd76779e74304d08e759072abf126d87da593 -> 0x6f8a06447ff6fcf75d803135a7de15ce88c1d4ec -> 0x54b74d49cbfb92343e4607f260be721b208b4dfb,0x0e5bd7...7da593 -> 0x6f8a06...c1d4ec -> 0x54b74d...8b4dfb,direct_token_transfer | direct_token_transfer,77.0,Two-hop lead; strong enough for manual review if amounts and timing fit
0xd1c769317bd15de7768a70d0214cf0bbcc531d2b,0xd1c769...531d2b,0x54b74d49cbfb92343e4607f260be721b208b4dfb,0x54b74d...8b4dfb,2,0xd1c769317bd15de7768a70d0214cf0bbcc531d2b -> 0x6f8a06447ff6fcf75d803135a7de15ce88c1d4ec -> 0x54b74d49cbfb92343e4607f260be721b208b4dfb,0xd1c769...531d2b -> 0x6f8a06...c1d4ec -> 0x54b74d...8b4dfb,direct_token_transfer | direct_token_transfer,77.0,Two-hop lead; strong enough for manual review if amounts and timing fit
0xa022ba0a68e11a78348382ff168601012d4d77f8,0xa022ba...4d77f8,0x54b74d49cbfb92343e4607f260be721b208b4dfb,0x54b74d...8b4dfb,2,0xa022ba0a68e11a78348382ff168601012d4d77f8 -> 0x6f8a06447ff6fcf75d803135a7de15ce88c1d4ec -> 0x54b74d49cbfb92343e4607f260be721b208b4dfb,0xa022ba...4d77f8 -> 0x6f8a06...c1d4ec -> 0x54b74d...8b4dfb,direct_token_transfer | direct_token_transfer,77.0,Two-hop lead; strong enough for manual review if amounts and timing fit
0x90ca00f0a7c263ce9e8a9af5ad044cd4dc9c1a4b,0x90ca00...9c1a4b,0x54b74d49cbfb92343e4607f260be721b208b4dfb,0x54b74d...8b4dfb,2,0x90ca00f0a7c263ce9e8a9af5ad044cd4dc9c1a4b -> 0x6f8a06447ff6fcf75d803135a7de15ce88c1d4ec -> 0x54b74d49cbfb92343e4607f260be721b208b4dfb,0x90ca00...9c1a4b -> 0x6f8a06...c1d4ec -> 0x54b74d...8b4dfb,direct_token_transfer | direct_token_transfer,77.0,Two-hop lead; strong enough for manual review if amounts and timing fit
0xc4d1a863e9cc45d02ba22d3a1ae9ba7822018ce8,0xc4d1a8...018ce8,0x54b74d49cbfb92343e4607f260be721b208b4dfb,0x54b74d...8b4dfb,2,0xc4d1a863e9cc45d02ba22d3a1ae9ba7822018ce8 -> 0x6f8a06447ff6fcf75d803135a7de15ce88c1d4ec -> 0x54b74d49cbfb92343e4607f260be721b208b4dfb,0xc4d1a8...018ce8 -> 0x6f8a06...c1d4ec -> 0x54b74d...8b4dfb,direct_token_transfer | direct_token_transfer,77.0,Two-hop lead; strong enough for manual review if amounts and timing fit
0x52764dd44eb51b0d21cd08e5497035f256ea7754,0x52764d...ea7754,0x54b74d49cbfb92343e4607f260be721b208b4dfb,0x54b74d...8b4dfb,2,0x52764dd44eb51b0d21cd08e5497035f256ea7754 -> 0x6f8a06447ff6fcf75d803135a7de15ce88c1d4ec -> 0x54b74d49cbfb92343e4607f260be721b208b4dfb,0x52764d...ea7754 -> 0x6f8a06...c1d4ec -> 0x54b74d...8b4dfb,direct_token_transfer | direct_token_transfer,77.0,Two-hop lead; strong enough for manual review if amounts and timing fit
0xc33780d8841dd80fe3de83bff881218372c3d42c,0xc33780...c3d42c,0x54b74d49cbfb92343e4607f260be721b208b4dfb,0x54b74d...8b4dfb,2,0xc33780d8841dd80fe3de83bff881218372c3d42c -> 0x6f8a06447ff6fcf75d803135a7de15ce88c1d4ec -> 0x54b74d49cbfb92343e4607f260be721b208b4dfb,0xc33780...c3d42c -> 0x6f8a06...c1d4ec -> 0x54b74d...8b4dfb,direct_token_transfer | direct_token_transfer,77.0,Two-hop lead; strong enough for manual review if amounts and timing fit
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97...946418,0x54b74d49cbfb92343e4607f260be721b208b4dfb,0x54b74d...8b4dfb,3,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418 -> 0xa102b434ce441a3119e146f75ed6276ee1a836d9 -> 0x6f8a06447ff6fcf75d803135a7de15ce88c1d4ec -> 0x54b74d49cbfb92343e4607f260be721b208b4dfb,0xc8ab97...946418 -> 0xa102b4...a836d9 -> 0x6f8a06...c1d4ec -> 0x54b74d...8b4dfb,ctf_position_transfer;direct_token_transfer;direct_usdc_funding | direct_token_transfer | direct_token_transfer,59.0,"Multi-hop lead; useful for discovery map, requires stronger corroboration"
0xd08f50a9c65678bf92236c5ebe58028234a7fdb6,0xd08f50...a7fdb6,0x54b74d49cbfb92343e4607f260be721b208b4dfb,0x54b74d...8b4dfb,3,0xd08f50a9c65678bf92236c5ebe58028234a7fdb6 -> 0xa022ba0a68e11a78348382ff168601012d4d77f8 -> 0x6f8a06447ff6fcf75d803135a7de15ce88c1d4ec -> 0x54b74d49cbfb92343e4607f260be721b208b4dfb,0xd08f50...a7fdb6 -> 0xa022ba...4d77f8 -> 0x6f8a06...c1d4ec -> 0x54b74d...8b4dfb,direct_usdc_funding;local_row_cooccurrence | direct_token_transfer | direct_token_transfer,59.0,"Multi-hop lead; useful for discovery map, requires stronger corroboration"
