address,label,group,role_note
0x0a16ff4c4e2ecd65e178e5a793f3297312844a62,shared_funder_erasmus_debased,shared_funder_lead,Reported shared funder of Erasmus and debased
0x0e5bd76779e74304d08e759072abf126d87da593,JAHODA,large_yes_trader,YES-side wallet
0x245b564e7514cf4fa4bfe3e32b217da295d7c1e5,secretscent_intermediary_245b,intermediary_lead,Reported secretscent-to-UMA-proposer intermediary
0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,debased,large_yes_trader,YES-side wallet; shared-funder pair lead with Erasmus
0x2791bca1f2de4661ed88a30c99a7a9449aa84174,protocol_usdc_e_polygon,known_protocol_or_contract,usdc_e_polygon
0x28547904c8fd224074a349a2313ef852e29e0414,RockSolidBond,large_yes_trader,Reported same-entity / related wallet lead with secretscent
0x2c0367a9db231ddebd88a94b4f6461a6e47c58b1,protocol_uma_bond_contract,known_protocol_or_contract,uma_bond_contract
0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,protocol_usdc_native_polygon,known_protocol_or_contract,usdc_native_polygon
0x4d97dcd97ec945f40cf65f87097ace5ea0476045,protocol_conditional_tokens_ctf,known_protocol_or_contract,conditional_tokens_ctf
0x4fac062e3edf91d976ea75ea6007cc3b086daad3,shared_funder_yung_angh,shared_funder_lead,Reported shared funder of yungstalin and Anghkooey
0x52764dd44eb51b0d21cd08e5497035f256ea7754,uma_top_proposer_5276,uma_proposer_lead,Reported active / top UMA proposer lead
0x52e5a051ecdb72c973efcba97d375e0d1eea920a,0x52e5_anon,large_yes_trader,YES-side wallet allegedly funded by 0xc417fd...
0x65070be91477460d8a7aeeb94ef92fe056c2f2a7,protocol_polymarket_resolver,known_protocol_or_contract,polymarket_resolver
0x665dcbe83796b5010279f0a38b197d65e0aaaf35,0x665d_anon,large_yes_trader,Batch-created / suspicious YES-side wallet lead
0x672f13d830d3617efea21c2ec7f4bda5d2c27fcc,Shirtybonds,large_yes_trader,YES-side wallet allegedly funded by 0xc417fd...
0x6a9d222616c90fca5754cd1333cfd9b7fb6a4f74,protocol_ctf_adapter,known_protocol_or_contract,ctf_adapter
0x6fec0fd0e5562f0ca9a709417d4492aadac43be3,0x6fec_anon,large_yes_trader,Batch-created / suspicious YES-side wallet lead
0x82a7183f93447d7a8ff5b4bd08eb0d74de266ed8,Dripx,large_yes_trader,YES-side wallet
0x90ca00f0a7c263ce9e8a9af5ad044cd4dc9c1a4b,0x90ca_anon,large_yes_trader,Batch-created / suspicious YES-side wallet lead
0xa022ba0a68e11a78348382ff168601012d4d77f8,yungstalin,large_yes_trader,YES-side wallet; shared-funder pair lead with Anghkooey
0xa102b434ce441a3119e146f75ed6276ee1a836d9,tf2,polymarket_uma_participant_lead,Polymarket trader; reported prior UMA oracle proposer activity
0xa4b366ad22fc0d06f1e934ff468e8922431a87b8,HolyMoses7,large_yes_trader,YES-side wallet
0xa4fcd42731853ed3711aac964a14f442b1f6977d,secretscent_intermediary_a4fc,intermediary_lead,Reported secretscent-to-UMA-proposer intermediary
0xacff32f36054e039003c7925f7834360531f1f9a,activator_acff32,activator_or_infrastructure_lead,Recurring zero-value / activation / infrastructure lead
0xc33780d8841dd80fe3de83bff881218372c3d42c,uma_proposer_c337_linked_to_secretscent,uma_proposer_lead,UMA proposer lead reportedly linked to secretscent through intermediaries
0xc417fd8e9661c0d2120b64a04bb3278c17e99db1,funder_c417fd,funding_cluster_lead,Large USDC.e funder lead for Shirtybonds and 0x52e5
0xc4d1a863e9cc45d02ba22d3a1ae9ba7822018ce8,rdba,large_yes_trader,Large YES-side wallet
0xc6587b11a2209e46dfe3928b31c5514a8e33b784,Erasmus,large_yes_trader,YES-side wallet; shared-funder pair lead with debased
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,ARB_ArmageddonRewardsBilly,polymarket_conflict_wallet,Polymarket user; alleged YES holder; alleged UMA / Polymarket resolution actor; Safe executed resolve() path
0xd08f50a9c65678bf92236c5ebe58028234a7fdb6,Anghkooey,large_yes_trader,YES-side wallet; shared-funder pair lead with yungstalin
0xee3afe347d5c74317041e2618c49534daf887c24,protocol_uma_oov2,known_protocol_or_contract,uma_oov2
0xf1539247af59b16517377a859bcd0d9c7eac162c,secretscent,large_yes_trader,Large BUY YES wallet; reported hop-2 UMA proposer link
0xfb55f43fb9f48f63f9269db7dde3bbbe1ebdc0de,protocol_uma_oov3,known_protocol_or_contract,uma_oov3
0xfcd0eadb24d78e016e88b9e2a7029e349ba6391d,GroyperFinance,polymarket_uma_participant_lead,Polymarket trader; reported UMA proposal / reward activity
