from_address,to_address,asset,token_contract,category,transfer_count,total_amount,first_timestamp,last_timestamp,tx_hashes,token_ids,from_label,to_label,relation_note
0xc33780d8841dd80fe3de83bff881218372c3d42c,0x2c0367a9db231ddebd88a94b4f6461a6e47c58b1,MATIC,,external,1748,0.0,2026-04-19T02:08:18.000Z,2026-06-05T22:30:58.000Z,0x001af26e207b87151a1c2847fc55e394cd9794733a0811799aa8a6581789e5c1;0x002bde476cd175d8a43f329be35f4b25131bb8e59a32db3e589ebefbba9b5d6b;0x00876f723455522a57da7d9d0e7e7b74f2f109df795cc0724f0a65221b777f8a;0x0094bffb9803cb44824decf3614fef3980597b296c246877773c6eb9183ce7d4;0x00cec4fdf4f4cb59f612e239bd7f78250d23f31713c7314b7a1602b0dcc3b7d7;0x00f65d4f25c3622ccb1f4765e49610a1b0fc53b885f6d6babeedfdae8bc48e7a;0x00fe747f57f6c019e456af01e66d350415a723a9bc7ebfca019b7efb2e53f810;0x010ec7cf75e5d4c3d23a72333f7ffb8a26473c20af3506368685ebf82c878091;0x013ec79e69f9b58b53379c9afbe501dfbc90fcf84f6b3a2c54ad8f51810e707f;0x01442ff7476f5bb6055ca25ae4154c4fc1d9d9e6ee7d6eeed021a850badf0fd3;0x014b24e1abe7d6b1ac8ba11847b052b57c9b5e8e66c2cc69949474305775315d;0x015d09586a315298d3b41a1c8244a19a10ce7196a8facdf75db699d1bd3fa717;0x0169da922393872226db838b855e21af8a3b79ab317710be1141cd75ce83488f;0x017a203f897274e72907c0981460c0b688d0058f0ee98e7d9f18dab3f3a43a19;0x01d60eb39f1d93778a3f9fd482ee1d9c80176a3c31aeb1cbc9cb0efe9fc3d7d7;0x01d9555a1af16904186b6631f2f8fdeb5f91444514ee5aa800f8d0184d8eec21;0x023f407a39d78c502a1955a0313eb3a7b1a09ff9a1f220eaaf9a234192064b99;0x0257807f8f908fdbf0c963469a06cfc4e20088acd5c26d7dd882927ca51b42f8;0x02858932944901591b0dbdc9199bf3a9ce9c547067e8bb9b59f141601ad5457f;0x0295d6664ab75dff74e4f408ab36f9a1812f131b72d491e272d01e6f576dd3c1;0x02d3989cfda9e60d350e63da1a1d28aab73384b1ae55fa21aecd32a68a91d0d9;0x02db174971805160d726d9cd37aeadbbb21505824968929a7cf7e22855673558;0x02de0e726947baae7ee755b4617995fb03bbc6edc380301301dfb86bc102378b;0x0362bb6f36cb0ba1ea4bdf43e25152e49c0e11bfdf7515185db025cb5bcd8dc2;0x037acc5b8dc9c6e459e521fb23623b304ecd578ff193e3cf5de47a24c3e16cd7,,uma_proposer_c337_linked_to_secretscent,protocol_uma_bond_contract,Meaningful asset transfer lead
0x52764dd44eb51b0d21cd08e5497035f256ea7754,0x2c0367a9db231ddebd88a94b4f6461a6e47c58b1,MATIC,,external,1709,0.0,2026-04-01T00:05:51.000Z,2026-04-30T11:51:38.000Z,0x004f510c623e4b1f46f7eff3cffa5de949dc7252a2cebf14d6deb3ce896a0325;0x00b4f866e0350ac86110e98573e825a42265f3b6c5bc8f2dc3397c438a8dc909;0x00d436eb9e2e3d79fe596fb8a2eb04168c6d55f514ec42ef18265e06308aa30b;0x00e6410c9bf68f8d6d4a43c1b2023a39c21c8bdfbc963412b09cb15b40626ae5;0x010bca4cb907433f6130c4587078c3ff12a4d2752facc0e162a4f2e1509c63b1;0x015d691b4c086d4c370335b584f1f92f60180fe6d5a99baddc5b9b91c2fc36d5;0x0162a6598b866c624a8edc9bbc15d34dfc6d35a7f9ac64c95429bbfad4fd4e43;0x01a8993b449351f4edd18406f03a8d29becddde9feb5f230c40b1153b906a0a4;0x01c555e937cd6dc0960e703be95d3096c09fdc3a148f296d6fb5f23660845e69;0x01d66fd89870f23afc7bb40b66890edd0fc1b050eeadac77911e68a6e5c31e6a;0x02215e36d078544c75d03a6c8baee0ab8715eb085e9cea849741a8e46dd5b89b;0x022f6c1de239597937ee6898226b1ea5ab18a9d0a52161a938ec8c4a42d91e7e;0x0249b5b74cb0b7e2adc5ad3dca5652b1b4f54a797562343bda450773eecbb348;0x02608b5893c9fa632a6784b3933c3fedda1339f8c025367c38351feab01bdf52;0x0298fda998ee12fcd2abe4df769cb53ac88ed10bf179888152c680879496266c;0x029fb338c08fb452d97445804e676d924c10660b2e8686728f7b51c4223736d4;0x02aadcd8d01833234253f939e2a4682ec27c683982e7af0bd20d27ccb795a092;0x02b0ac2afe19f5e4d23ac733a8b9719580363411f836f769538e119925cb4afa;0x02dfe7897bcde2947aec6698db251c3773b3268a846f2031fac0595f7767facf;0x02f6b0c5016826fdfdb2d2c16b0eec2d916d451850c8dece49fc41fcbeec19af;0x03162bf0cb4c2f6a346579ec84443e9d2d9fa75a8c0cef7dd47c65d2de3689b7;0x03a9857d36715c0be7e5e812069cfd486d31aebf4f54b30670bebec44ca9fc7b;0x041f15f316de25a8a568a954ce8138f078c7181b97cea3f29fe6f8779980263a;0x046bde57262e553ec121f78e4c88bee33554b265da3389d968422cd54aed2725;0x04ea571efe080942ec5ceb491d7ebe9d0b36594e61212b1593730c2152f39edb,,uma_top_proposer_5276,protocol_uma_bond_contract,Meaningful asset transfer lead
0x2c0367a9db231ddebd88a94b4f6461a6e47c58b1,0x52764dd44eb51b0d21cd08e5497035f256ea7754,USDCE,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,erc20,914,691106.0,2026-04-01T00:29:11.000Z,2026-04-30T16:49:24.000Z,0x000133f26785bbe4914187e534fab6130324ec1d6a5f7a48d080ed0af0c70760;0x00fcc4d1e1fe51f2fed094e28de338619f459a1f1d2eb60d557354485470ce45;0x0109281b18e3b68a7eccafedfb45df63535a54aa1c8b9b6bd52f0b8d76ee3111;0x0151dfbf6bcb2932486c20cd89541bd0fa52b5d7e1f0f6f89f512d5c27083954;0x017b9b13aa46c640cff887f8ff7156dc1e8b971516c867709e2ff373c718b2f0;0x01d497aa055550549fe8dbd28049d23c0e21eddc0d8ac99236dbf0bfd2ac570d;0x0374845a325cf4679f2d0a404c8a89b08a73ff4d7833c39ec38b08fefc4dc773;0x03cebb7e319bdb8787092be494b02324edd5dd1392132552ac87fd1e9fa762d7;0x03e4cd5a1e0ac17f13092115988dda508f9c18224b06703fb83795b6fb4cd2cd;0x04b58dbe307e2b458af26fa1da080efac9749ab644dbceec36f0ce0d97f6dc3c;0x04ed81d5f1f0d1de4b68699cf325ea0350c23c381867583071e506005d580c3b;0x051e6a329277eba2763891b2687da0679e1cc287154dbd39ab6620a2b68fee1a;0x05273a84ee04571d7f711430bf20fc179a19c4971674022de231ecfa89583b48;0x0542eac87b40d31aab9db7c8839a011eb777a9bab71b42f13199a891bc01b490;0x05b55c54e39cd6173fa1417d5e1e7699e1ef29fc0dd1d258b5b81b0e951edc2a;0x05c5df12e1d4cbfe588795769f2d1d80eaa206a953839a44b14cb5a20c4e1e0b;0x06a0c67883cc42a49a92f373ebefe0c37b60dfc1611a569aae30423870e7f2f8;0x06c11bf4e80295c37554789bdd1e146e85ea5459263fe8b55ab43bc9ad4ef67f;0x06d1617095a813674ab7ac3856696025193bec6bc552618cf2aa8d255d57238a;0x06d72d2f7c75d09ba9c1283153ed21050d3533ae8eef88df0acf04e5a4987915;0x06f987afaa9e5d59466446c04db463e2c676bb1d2bf071069ee229ea994c801a;0x06fd5a30eb8fad3745cfe61744e9811b96d24f6331f12b0e53601a2576566c8e;0x0729de88099d003ce86ead96bb962173255b824f3ad537f15662ef24b63778c3;0x074297db09129eb03d4fb26de2904a500c5a357a2c1aaacdd35e5e12009b2e15;0x074ecc7a926f46b9ff6d0251d4ace72efe4004e130973a6655423fcce828694e,,protocol_uma_bond_contract,uma_top_proposer_5276,Non-standard asset; review for spam/noise before use
0x2c0367a9db231ddebd88a94b4f6461a6e47c58b1,0xc33780d8841dd80fe3de83bff881218372c3d42c,USDCE,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,erc20,852,644737.0,2026-04-19T04:10:12.000Z,2026-06-08T23:31:19.000Z,0x00332705482df89daf7cc0420f2e6cfddf7cf3d85ede45036fb998e87d701d23;0x007512cd721e08ba58afbba87d5bcc5b39f93f566eb31e2a0591c17d81ec3323;0x011aed31d230be8b8fbd1004185c4bffd270b3323432c1ad6df0d0ab796dd86f;0x015877ef9b1249ac2484d0ae62965f3e8c5b9154fe69590ba98ca3b62212e05a;0x0248001eecf7667eb0b335c68a3ecf009827c06096bbf65dcdb9ad4bd2bfb750;0x036b0d38fb68ee1bf86862d13e9b3678ffefddf651e3c1001dc62d4aae0c9be2;0x03793db9c9d9a14ef094d9e18cd85a2792997663f9d13999ddf5a62b230113e9;0x0408b820754588770a68d56f221a01fac9c0b3a26f896e5a9bb833f3ed50918e;0x0432de4e078b384f3c7d7048c860ed8a311526e47a60794a5276173738408766;0x04615f6cc8e588422ee05ed91799e9a7efd0f7caa9e3602a90d2493a00b383ca;0x047e89264a165d4633ad6f299b4ba1c504667816cc0ad7327650a9620e30cb5d;0x048aef03f907ed68b3cf841015bdc40f9f859487f0b3e40c86315b182dea03f0;0x04cd17a6ab74fdec258b71a193a88db2c6b5407b7b3dafde957aa1d6c6f28902;0x05092d213875593b9336e2e4e8bec863ab53ad8868cd33bf8df8206c1936aed9;0x050c061d7fc2c23593dd995711b82069aa7ab92986eff4658bcd25af26353457;0x0559d933967e24cfc670e0918bf02077d019f5ff75835dc8134ec570802b55d8;0x05c8a58d1ff7cd2c104042555d6e70e386210360edd8eed838742d2d466603a5;0x05cc9df2b2a2e33c30823330e571463126e7280e97891298a9db19409fb020eb;0x05dcd862a56f87dc43c5c906f24603e369a68ac2012bf889e115efe6ae47f719;0x0637f23509485fd888d0f1628811f3401dc0e105907f21c34b44f66390b19efb;0x06b3bfbc105e38dd4e534d5198978707eb2ef695a6f0fd0825e57a8919890f2b;0x06b840a092e5b7a97b4517f3b560447ae092f421f6ebd449aafd214f127274d5;0x06b9ca23e8f393027be4843093fe9296c3b436dcc16b37efb6164e285139fc1e;0x0705870e8beaba37551e303960c9e4f4cd93c583bead5342efabb9834b821e4e;0x07ec33dcda18bb367ada3c854baadf4dd0832c1a4fbd8b163cbfff6463f1000e,,protocol_uma_bond_contract,uma_proposer_c337_linked_to_secretscent,Non-standard asset; review for spam/noise before use
0x52764dd44eb51b0d21cd08e5497035f256ea7754,0xee3afe347d5c74317041e2618c49534daf887c24,MATIC,,external,229,0.0,2026-04-02T10:39:39.000Z,2026-04-29T18:04:12.000Z,0x00c6fe31e062771a46610366f6dd0f3f343b652bccc210f5ab0adabd00e5757f;0x0169096a157921751f535d5f12a4a323674eede5e3344f0a035b7d39950c695b;0x03b265d2dc62616e0682ed77e93759d166d5d2e75dfd40d35703dd1bf0acc766;0x03b61ebe99b1753cf0002eda0a34c7219b75746f052685014d6748b747343c76;0x053e9e38d8ad03bbb783242bed32b8ebe456efdae0ee005baebc706baeee587d;0x06786be86d40f53edf5fda3c3a9e7872f67b62ab7967e4d53b08500dfad7ee94;0x07419a6d5a56247654a212b46e926aaa036b5039f6377a013dbabce196a9381b;0x0afcf46fb78faba943efc036ac398bfca23e764232660311cf3ab22c4d206137;0x0b399ed070edd8c1ae1da2c5ffd7f6faa13147d336c00ffe80d84dae3a4cc6f9;0x0ec38207e2d7e8023c620081972d83fc672be2dc411a11906e620b0d5f578747;0x111ca750e29a1153c996b77fd7e5fba4449f1c2c1cc4ef3816338be6ddf8a59c;0x116cef302420a2f949c5e263648e8fe0e320a722ec5237552d9e67e8fb947910;0x11e5ee615ba370fbb7d5d7f9bb17cb86db9eeb07f6e28c2e6b943580cf952aae;0x1206661c7034517101520158dc8596450cbce5af97b7a93576be6f1b0a06fa78;0x12befcff7cac4afde3fb3575544d6ed98a9c6d6457de0fccb99ba3c53063f2f8;0x13a13515e0a42eafd07ca78f2249af5e69d468a79c98d3aa43d362a4fa689945;0x14c76688bd44949854028e125fc4ba7c0fa17e17310d7f878d2c58a88914ce6a;0x19cae5528ee103a550f23b2af9ea18c5eef93213d7d7e26966cccfd0d77e93ad;0x1b27964a933586c332561927f60c4d059dc5fde95ec1ccb30a973438ef80e055;0x1b78703a102aad207ef01a5548240dd5c0770db7b56583f01f51227344c92d32;0x1c5ed7227bfedf660212ac3a8e6feac5288812bffcafee112da8ebe24affcd61;0x1cc0c6c5ff9ecc401d1b721a44b9f5d7d314be622b546331981a7084657d4483;0x1cc14d9369ba583ab7b2e361c91ed1bf60aee269af50fb8d45d2bcda33eac260;0x1d08c8839d9c9727d381809e5d3ab8d671fd47abd9b9025aa5980d3afd567003;0x1e40a050916c664c32e6b8e034a20326aacc94ca238aa57684b895a0585f2262,,uma_top_proposer_5276,protocol_uma_oov2,Meaningful asset transfer lead
0xee3afe347d5c74317041e2618c49534daf887c24,0x52764dd44eb51b0d21cd08e5497035f256ea7754,USDCE,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,erc20,204,153772.0,2026-04-02T12:42:01.000Z,2026-04-30T14:35:30.000Z,0x001aca0f07fb59a750eeaf457700cc143f33b3d60c7693d172503b3e9c69dda6;0x014bc6f22cbf75cebb0919896b858c68b16fb5fad1060dbf1d393c4269530795;0x01d227e7de3a2c95f1e97572221d754f5b572c49263a1f7e32d95feec9aaef73;0x027b95c6c71bd0ebca15795cf483b1c2260db4871fdf60b341b9213e6166e700;0x03e1d843b0e65b422995f547d54e9709b15c6b1e3676ae1687bb80a79fa43415;0x050794141237c2d3eb0e71ba48a6ce45d8b62f114a2a1262321730e2b9007f27;0x0584647a7ab1deaa57fb9bdb00cfe8e371b670a09e1e4b477f89f5cc86d2a777;0x06d50c05244880c2eab1bc6190deaa5cf4e50e95f8ba25e3d9d41defab7651d0;0x096823680bbc8237ba746d035f2829d3e5c8abc6b6ad383e87a0792b8cba426b;0x0abccf3012725259e8f674a672141e84e469611bacb7567dedf0ce81eaa18dcd;0x0b97f9e99a64f0c3c2e4f4494789a177b0f70a50461f1b1ffc9e94c7e12887b2;0x0c59e29f47cb46c31ba858188b7f054896868ccb52667644ecf603764cdb9b3a;0x0ce2391f371f5c020f0a4d37a9fb9f6b85527dea531e2df9ec2a98633e4edb8e;0x0de826ba4fc53cf49a83fa362e1a03eb9b8b72fc9b31b228ed40060518eb09db;0x0e0e683a2f668416db555d25e2dc269ec7d6d95e37d010b36da812c1ea4cf450;0x0e244bb5a3ca6b296887cf3b84e2f37025334e16ea0b65284178ad810c48c9f8;0x0f611f70135451a06c350253e7508b25f86a4d525b7cea35995907385745aa6f;0x11ff6c8acc0b3de27d93104a1b247b58430951d9cf06f91decb967dd33b6f3d8;0x13e951aa3b29b5ec4a979557d159579b0c5497df4e499656fb7fe69c260c8720;0x14e5ddcde64a2392c350b9a0dff5234c8906de97ae2bf30dc775bc0617c3f4e0;0x17f8137732c99b088acddcddf11b81b64711c821a960c77f0b9c2d97cbd42732;0x19310def8d9b133d9324428a42abdfe968de99a480d7952a3f9f0f2a798c15c4;0x1a39936c91d2aa1ff4962496c5306a0ab118afe5c5f742a0e8466d401fb8423a;0x1b78703a102aad207ef01a5548240dd5c0770db7b56583f01f51227344c92d32;0x1c5ed7227bfedf660212ac3a8e6feac5288812bffcafee112da8ebe24affcd61,,protocol_uma_oov2,uma_top_proposer_5276,Non-standard asset; review for spam/noise before use
0x4d97dcd97ec945f40cf65f87097ace5ea0476045,0xa022ba0a68e11a78348382ff168601012d4d77f8,USDCE,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,erc20,166,1809308.907044,2026-04-01T06:32:13.000Z,2026-04-28T09:11:26.000Z,0x01a55fdb63afcd3b1f5669fe5a19ee05d2110954274ae15d6876a444fd2c4ee1;0x04b50e561335d043d79477ef595f11a60234d4fd137c587de83783a222421c29;0x0749373cfe61713a44819dbaa8c915537a600d9ac316d4028374ce23732f30ad;0x0859e9b5b62425535fb950da66ee0eeee6e9d91d80f787fc0f85828e62e9d8ae;0x098811aceac868341fad64c88b5edd0df724b4553f9fbfb0a297a98a7653ae54;0x09d5a5d8f7c381ddaad142fbf9e1c6262ac92c4d0dfd5119185af641355608b0;0x0afb6f625ffda9f35c9f19072c7060a2a5a8c8565fb91a22f8aaf32516ab089d;0x0bee295c147af5b863656fb7aeabb3f2a9f2bff22238c53bbf7ba94f973a56ae;0x0c0d60fd772c04e44ecf4013985f30df3cf2d6413c5273079fc388ca5c8759ee;0x0c6a1e49ad422b948072ab2ebb90f4083c8a898decccab0fc711a4b3ff8cf79b;0x0dfbebc0e582b79ea25074903ee58379f865de8533cff82677f146eb1851eb58;0x101105ac100f05a719550f5d049d6a3e594232bf2b2bce89157c7c4c455d2579;0x118e389282815eb8f372bf9c79581540cb5fca023e4037d1cba0e5fbffbb49b2;0x12495e93dddfd31cb6947d9adcb7528207efc9ab6121a375cd543d9295d00be3;0x127cf1f2139def4641ee37f5320667e4a0d80cad42600c040edc7403a9c904a0;0x132fadc012a2897ffccb4daede4ed8bcdc91447b93893dcd6dcc851cc69a61e3;0x1410f11f9a90e47fd076f757f551c9ead553b120ae17f3de34af5bac0b57eba3;0x141c13f4fc527938acf6a0382c15a0d291bd5727b1cc6b107ee4018a24fcfed8;0x1458f75b7d414b62b490ba7b8467d09a2f2440c88ce332d27e75347450705d2b;0x1566a8888a8bef23404e21b5a754ff5e5c9f25e058e6659986e9437af9789aea;0x15d3f710b86541b3b5c5241912a2364aff2d6126e56c0079217e7f9d2d6fe9d6;0x16b2a20b0824473ad9979b2fe72a16991c15ccb37c1e552b9ecc66e18236b2a7;0x19c743923e01049f1eadce298434a1253465b6152fa1401806b51fd5bfcfee14;0x1c15ba091fd924a63ad4ea13906216d8c4f325253a4a6f94e790721cbec5fd04;0x1cc9a027dc8378bf6f2f939f7a118f639aeb140f1bee6f4204a316c28346fb4a,,protocol_conditional_tokens_ctf,yungstalin,Non-standard asset; review for spam/noise before use
0xc33780d8841dd80fe3de83bff881218372c3d42c,0xee3afe347d5c74317041e2618c49534daf887c24,MATIC,,external,94,0.0,2026-04-19T23:57:32.000Z,2026-05-30T02:45:11.000Z,0x006c012f240d72076b6d05113ed5cd1b107bbeb1e77074d620a8b2efb4b5653b;0x033f62831b96fbbba0b5460cb8140778413c0140120b065f126ac074c94325e1;0x0483a9a3f8cf63599a5bedac39a52b9c9599cf004470e90a50687f83f4f5096c;0x057f28381d43befe3439486d8ca8d6d1ea0fb728b3e0a7e15147ff7783aa0add;0x0a7c50a882c7b08d1f37f66331048643a14a8806876988eb35702db4b06f5c97;0x10a057186ee196ba3578fd4cad8e4e3e116a01e5d7c1ecc860160dc67b0e110e;0x16bc67555c6278e3b24c32338e836dc1b6c3693c6f3eb0b5ae1a990b754e97f2;0x1730a1ba5c543e9033abfa666ef04d24e375819a87c798f398c5b02a344002bf;0x17bf639f7a87bb9e8e6cc059455295f44dcc6fde3380cf5c1ffef91e449090f4;0x180d55fd764d8ad73ebe6805212c487bd8621f86dd55d9c0693887d5733fc31b;0x1962adfd7467a74ed8c011ded1b423dd47520f69191c174f37ca7d0ef7ea492a;0x196be62731c792a8c2faab3d98f2d66e1aac5b33fba338adec26b0481a3636c4;0x198bd62e29d722abc0b04b48d297b79d0c268df7d585d0e0c6d2d60072754aae;0x1b4dd156ba14a70412e78d274da2d946260af1f7e8dd734bc4ffa475e19ef0d9;0x1e61289c007f1b4ed17cf9480cb02734c72eb274288fe2caebd77a1b3bd68e67;0x217b9694687807724b85b124d33fa3ec55e514d5d3d80f05708db1e4265ab077;0x2a9508bd2d97684cd9bde477dbadef79d294c97ea029c46b8e254d224cb5b488;0x2a9a1a10f8dedd4a91b6ca7a662ddaf5648c8e08175f5b3e8974cb4b297e7c6c;0x2e6abaae9d7e924b0c69e6ec2c4f81fd50cbf23956adddd5ef360d0c4f0b0ddb;0x2efe3964a84a47572d671ddf4c7995ad42012f43f5aa9e20852044a026e34aa9;0x2f1a7b08b279c8251f2aef2af150c6e9ca950a93ac0bd990e5d92ed6340dde30;0x386c703f8b73c878ef8bd6989b6ec1d054f527f3e1ec121acd9e25e8f07e834c;0x38ccac8e093aa480987d7cafc2e2d5f5720a67a94f613758eeab752ddb7ec725;0x3e055ff7f7a6dcc48c7f5dd19618acd170eae5c2dbd5cd0dc5daa0af682bd8a0;0x4585ac8495bee779f2d98734ad331b819c1decc726cac56edab8b8bf8a1cf815,,uma_proposer_c337_linked_to_secretscent,protocol_uma_oov2,Meaningful asset transfer lead
0xc417fd8e9661c0d2120b64a04bb3278c17e99db1,0x245b564e7514cf4fa4bfe3e32b217da295d7c1e5,USDCE,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,erc20,71,2454897.319506,2026-05-30T21:16:33.000Z,2026-06-13T00:40:03.000Z,0x03f737ee76b66a2143a07f84bbfef5a0e6b0a1be6e826a0ffb45c38a8f226052;0x057c19ef0b34a8e28a39a65cb062447ff833f09fe9f4fb9f47f0092844adb75b;0x0b1381b6c99a4894ee8bac1bf9e7929113b321fd0c6cd5f4649272de34d6757e;0x0f144023b61a98ed2ee0132d9ae71b4e0ec0b2e442ec15ddb6547b324acfbaa3;0x0f18053cbcbb6e735ba96edec65f645153161758683d0b0f1c14881f29825546;0x10e1ccbae95ae38c5c3962f99b9ceaa310eff3aa59e38e690e3629390582edbc;0x125192326fbe2094b3e90235d551401c4b603ce149c618da77cf075a123eea07;0x1ca2a26f969536582f8156e500d28f7bafa821fc9a89363d679c9a963714844f;0x22f8e4d10dee40ccedfd741bced9b947759a59e76549515c1de45e6f32ca6ee3;0x28c0f4eb5231214cd0693d3c96d5dc0e01a812f5becb074c4b30c8bc515bd6a4;0x2dba464ca6a7ad17d1b2e470b4aa939a21ff678bf53c089b069e02725f818042;0x3090208f2a83d4339fa78074409e6eb9e513835002f614d32b0afe9365fcebc0;0x36829b3f5aeeb392a079db0b72486ebdf0147c677a1de9a12337c6798d165772;0x3a1c50ecd849246a8998dc8abf610423b6d04ea637fa8d8cd5b478293aa9522a;0x3c9373af37ddd354d6fc51b9b67c1363aff3e7d81d29abf3147b3a35e2489470;0x3e8c2953d95a491cc66c35b896f2efe7de9ee9deaaa94bc45fa7b57cd4f4f701;0x3f3eebd99823412b746e003b63cb95dccd3428370078aaf064e947848a4fe769;0x414cd69f176199e6f8efcabfc87e402f0030098651d3b8bcd16d10a18731245b;0x41df1fadbc96bd8c9066583d6ad21df2d823c06d40ccfdf4e365f038587a7529;0x42e2ac3686072f38d46b537259502aff562a85d3e1b05edef1ddc332a0500bf1;0x431b4f2d0b7be9f96e655d37a4b5839fb86335702952095b0ec5361d48dd5ea0;0x440c1db0e92a124aa1cccd9bbc78800918711c2a6acbc3a8abe3fe46791cc184;0x47c564fa8d905c41a9e26bbe3fc91d8c7cc9c09c71b2ec5957e37c6e0b19d2b9;0x53918f1dd6e2ce8800387ab2e468505e25cdf064f0c146a4d5a294d1553107b6;0x5a0b71d1d6b16eb2ebb7324fbc2a1de0bb734d6cb8d588b40961ff5c9584be8a,,funder_c417fd,secretscent_intermediary_245b,Non-standard asset; review for spam/noise before use
0xc33780d8841dd80fe3de83bff881218372c3d42c,0x65070be91477460d8a7aeeb94ef92fe056c2f2a7,MATIC,,external,66,0.0,2026-04-19T22:12:28.000Z,2026-06-01T06:45:54.000Z,0x0088cc76326e21a177378d60c65ba5a9134ebdf3e71426f0b74db9b878437e00;0x01cabf8ee5e5fd5504e200930978c5a8e0485c44f669a613b8448922bd6c9454;0x0486697f91016cc627f423e112159c9ccebf501943f64f218b3be9a82bf69458;0x0a1e4cfe58f580472f74bfb25b8204cb82b881afc944fe1e2e1a2550c59026ca;0x0ca109c5dbc30a6941309122d5269b28ee1b7fc4b72ef5deb610208fc1a86032;0x0e70469cee1cca8197e180ea60234f1f2ba71fd2c23baaa2d3955852decfb5ff;0x1092f51d2c3b329b0c461617a406701b3c9263f7ce4cf3200053e13eb424ef4b;0x11cf1031ee4e2234729251a5defbf989fd6ebc2e375d165321d0723dc68ffd7b;0x12868f0063dd43d252e2a1819231a56da14a009e8b3daca9c711e60ba461011e;0x1653d8c696bcf290c13b293fb91180394a6840bad0e678610d92532d2fcc1db2;0x16985765764b7e2ed0151f7618cafb40d7a63f6d30bb94e0d7e2dc6243989bcb;0x1a764b1921538c6833b1e225adc8c42c9bc6c280855996b17889a7193298e1bf;0x1a8a366e4a118874d148a03122e847830998dc919276c7502a7b095533f0fc9c;0x2055ebeb01ea82d74b434df839723bd77833da1d61488ca2b532cfbba92b0ec5;0x220e6700f8ffef3c87431221bd2b38a41c3b33a20177197e4b1b9430f29a5e92;0x36ef091cc1ad3e2265af2c452feeaa54f09dd289edc08cea247345469c56ed85;0x38228fbbf5459c9aaf6f627081f6d4739c5e76dd640ba2a07e7734bb7cd66049;0x3a226263441da0431dc0067ba05a514aa827ead3e64568be05262a5c782e491c;0x3d0bdf718a644b6b4658625920ef6758ac94f7a5e0b7f5ea044943e083b13d0b;0x3f385b62d878d02f6d9dd99d1ef05f87de0fe5b4fbfe5fd91886c5269fe401e3;0x4d1d45ad8a86a8513839ed0922f85ac9d04a46d419e127793c8b535c464626c3;0x4f4a0998d3acb5a6666dc9cd8634f12c13a8f6f3957263b68eb6b14d402fe2f2;0x4f8c952fe91b6ac7a7265850e4789d1185d71ac6aced527914f1927f5ec675bf;0x56fe7b62bd2880a8134cb6a01dca6ba89ed70f3f85b730414f6dfd53670bb62f;0x5b64759a1116a4aa869953e659b755e11dcb78a056f3e2def8d502ec9fa5c749,,uma_proposer_c337_linked_to_secretscent,protocol_polymarket_resolver,Meaningful asset transfer lead
