rank,staker_wallet,ens,vote,voting_power_uma,pct_of_round,current_staked_uma,wallet_uma_balance,claimable_rewards_uma,delegate_hot_wallet,eth_balance,tx_count,reveal_time_utc,same_staker_and_delegate
1,0xfc204fcfd2a579157898a212ea25ac98de2b1e1c,borntoolate.eth,YES,3121680.0,16.71,3121680.0,0.0,38656.3,0x2f8320c2dc28681aa5bbf92e79c37be656a7d5f1,0.6,520.0,2026-06-17T22:07:35,False
2,0xd2a78bb82389d30075144d17e782964918999f7f,maxodds.eth,YES,1537545.0,8.23,1538545.0,0.0,71485.6,0x2ec20e5aa17f736060356f6b186208d5ce0ab4b4,111.025,1490.0,2026-06-17T04:36:59,False
3,0x95cd0e455cf41e9f8cca8eee488432f3f10f29b8,,YES,1073433.0,5.75,1074131.0,0.0,68683.3,0x54b74d49cbfb92343e4607f260be721b208b4dfb,0.095,16.0,2026-06-17T00:58:23,False
4,0xfec2ade141272f5271febadfca5d21ca30fc04a5,,YES,1072344.0,5.74,1070532.0,0.0,28009.5,0xb21be96dc75717272402ef97a5cc144544263e3c,0.62,580.0,2026-06-17T14:58:47,False
5,0x05d184b066d72cd42a1fe0fb880c3d4a0adbf8c4,,YES,989950.0,5.3,990594.0,0.0,58679.0,0x099af188e9c68b91617efe4b09ee8cd90ba4c63d,0.068,22.0,2026-06-17T02:00:11,False
6,0x0afc9a935960948ed35e50ac7639cbb38e840b38,,YES,880730.0,4.72,885032.0,0.0,570.5,0x4b8aef878255f6242606fe5e73d659004f5a34fa,0.0,1.0,2026-06-17T17:11:23,False
7,0x487a5bbdc6091be0e27c0e8ea283047d94862538,,OTHER/YES,715196.0,3.83,715857.0,0.0,7922.5,0x260d417fbd1716b1375cd311f8a6677c4a780b3a,0.0,1.0,2026-06-17T03:40:35,False
8,0x8548682e561668a51f99124d998db97ff326e67e,,YES,461920.0,2.47,463412.0,0.0,481.1,0xc03808e0af01563a739e408268d5517dd7d710f3,83.974,137.0,2026-06-17T00:37:35,False
9,0x6564c6c44ef87e3bb32d7987317869817380340c,,YES,461061.0,2.47,461061.0,0.0,900.1,0xc636da66cfa5c363c4785835069dcaf85ab91feb,0.0,1.0,2026-06-17T08:55:59,False
10,0xeaf0f2eab859d1036ec14f8c4a1a7da8e4ef6aff,,YES,459684.0,2.46,460647.0,0.0,6293.3,0xaf4c815cf13bc8671a2a12bde62aabec24651ccc,0.088,12.0,2026-06-17T06:13:35,False
11,0x66ca133ec691ca210251fcd4c963ba220515225a,,YES,439615.0,2.35,441032.0,0.0,25.2,0x2108a6d1f32d1a932431d64e3328d1d45bd0520f,0.0,1.0,2026-06-17T00:06:35,False
12,0xdb2808ed6cf0b8b9686222689cf4f6e88e42b80a,,YES,358438.0,1.92,359188.0,0.0,3359.8,0xad0b860664a781cc164fc8ea36f81567ebec2c5f,4.342,573.0,2026-06-17T01:26:11,False
13,0xbec3396836c22ed69945d4951ca3fe7c2f520ff4,,YES,315100.0,1.69,315759.0,0.0,2954.1,0xa4c8e8d8983e53381b25967659a368f8e108aca2,0.071,84.0,2026-06-17T01:20:23,False
14,0xf659a672600f7c9f6fac317f884f8c76357fd48b,,YES,309632.0,1.66,310280.0,0.0,5848.9,0x6147d56b02fabd35cd9fc2b80a60276cdf089521,0.0,1.0,2026-06-17T06:14:23,False
15,0x992837530c9980e3db3d5ef9baf9fc3390408cee,,YES,305567.0,1.64,306206.0,0.0,347.7,0xe36b79317a75b08384c33d21197c7e3273886873,0.266,60.0,2026-06-17T01:18:35,False
