address,top_rank,top_role,vote,chain,first_gas_funder_in_window,first_gas_timestamp_utc,first_gas_tx_hash,first_gas_value,all_incoming_native_count,all_incoming_native_total
0xfc204fcfd2a579157898a212ea25ac98de2b1e1c,1,staker,YES,ethereum,,,,0.0,0,0.0
0xfc204fcfd2a579157898a212ea25ac98de2b1e1c,1,staker,YES,polygon,,,,0.0,0,0.0
0x2f8320c2dc28681aa5bbf92e79c37be656a7d5f1,1,delegate_hot_wallet,YES,ethereum,,,,0.0,0,0.0
0x2f8320c2dc28681aa5bbf92e79c37be656a7d5f1,1,delegate_hot_wallet,YES,polygon,,,,0.0,0,0.0
0xd2a78bb82389d30075144d17e782964918999f7f,2,staker,YES,ethereum,0x2b2be17d23de1b418fb92a8170e5fa127ffbcedc,2026-06-14T04:06:35.000Z,0x3780c7a00b51e373d68252237598c2576dbc83f0da1215a3f4d330dc62c572f1,1e-09,13,1.1899999999999998e-07
0xd2a78bb82389d30075144d17e782964918999f7f,2,staker,YES,polygon,,,,0.0,0,0.0
0x2ec20e5aa17f736060356f6b186208d5ce0ab4b4,2,delegate_hot_wallet,YES,ethereum,,,,0.0,0,0.0
0x2ec20e5aa17f736060356f6b186208d5ce0ab4b4,2,delegate_hot_wallet,YES,polygon,,,,0.0,0,0.0
0x95cd0e455cf41e9f8cca8eee488432f3f10f29b8,3,staker,YES,ethereum,,,,0.0,0,0.0
0x95cd0e455cf41e9f8cca8eee488432f3f10f29b8,3,staker,YES,polygon,,,,0.0,0,0.0
0x54b74d49cbfb92343e4607f260be721b208b4dfb,3,delegate_hot_wallet,YES,ethereum,0x1c13cd9e5acacc0c918fb120d36a65c0043a277a,2026-05-03T18:34:35.000Z,0x9271d5d9524858181c0c7acd63cffcc1eba950c56312cd257e1c77f0e9e79345,1e-09,4,4e-09
0x54b74d49cbfb92343e4607f260be721b208b4dfb,3,delegate_hot_wallet,YES,polygon,,,,0.0,0,0.0
0xfec2ade141272f5271febadfca5d21ca30fc04a5,4,staker,YES,ethereum,,,,0.0,0,0.0
0xfec2ade141272f5271febadfca5d21ca30fc04a5,4,staker,YES,polygon,,,,0.0,0,0.0
0xb21be96dc75717272402ef97a5cc144544263e3c,4,delegate_hot_wallet,YES,ethereum,,,,0.0,0,0.0
0xb21be96dc75717272402ef97a5cc144544263e3c,4,delegate_hot_wallet,YES,polygon,,,,0.0,0,0.0
0x05d184b066d72cd42a1fe0fb880c3d4a0adbf8c4,5,staker,YES,ethereum,,,,0.0,0,0.0
0x05d184b066d72cd42a1fe0fb880c3d4a0adbf8c4,5,staker,YES,polygon,,,,0.0,0,0.0
0x099af188e9c68b91617efe4b09ee8cd90ba4c63d,5,delegate_hot_wallet,YES,ethereum,,,,0.0,0,0.0
0x099af188e9c68b91617efe4b09ee8cd90ba4c63d,5,delegate_hot_wallet,YES,polygon,,,,0.0,0,0.0
0x0afc9a935960948ed35e50ac7639cbb38e840b38,6,staker,YES,ethereum,,,,0.0,0,0.0
0x0afc9a935960948ed35e50ac7639cbb38e840b38,6,staker,YES,polygon,,,,0.0,0,0.0
0x4b8aef878255f6242606fe5e73d659004f5a34fa,6,delegate_hot_wallet,YES,ethereum,,,,0.0,0,0.0
0x4b8aef878255f6242606fe5e73d659004f5a34fa,6,delegate_hot_wallet,YES,polygon,,,,0.0,0,0.0
0x487a5bbdc6091be0e27c0e8ea283047d94862538,7,staker,OTHER/YES,ethereum,,,,0.0,0,0.0
0x487a5bbdc6091be0e27c0e8ea283047d94862538,7,staker,OTHER/YES,polygon,,,,0.0,0,0.0
0x260d417fbd1716b1375cd311f8a6677c4a780b3a,7,delegate_hot_wallet,OTHER/YES,ethereum,,,,0.0,0,0.0
0x260d417fbd1716b1375cd311f8a6677c4a780b3a,7,delegate_hot_wallet,OTHER/YES,polygon,,,,0.0,0,0.0
0x8548682e561668a51f99124d998db97ff326e67e,8,staker,YES,ethereum,,,,0.0,0,0.0
0x8548682e561668a51f99124d998db97ff326e67e,8,staker,YES,polygon,,,,0.0,0,0.0
0xc03808e0af01563a739e408268d5517dd7d710f3,8,delegate_hot_wallet,YES,ethereum,,,,0.0,0,0.0
0xc03808e0af01563a739e408268d5517dd7d710f3,8,delegate_hot_wallet,YES,polygon,,,,0.0,0,0.0
