chain,first_gas_funder_in_window,whale_wallet_count,whale_wallets,ranks,votes,total_native_in
ethereum,0xf70e77272c9befef43b0517fc88e0213d25b320c,3,0x82ac3585ab4c876acf7bc28cb6833a65ba7ec7db;0xa4d849e3b972088f72ed2899f2945410cd784ba7;0xb7351893b4108a62cd765cdaa8ed6e8544e9bbf2,48;49;57,YES,0.045
polygon,0xc60d99766d22727f626d758a8b1c021370f436ae,1,0xcd16c08f73cd87558304ce2209fca69ac5885e69,36,YES,139.86996004108795
ethereum,0x992837530c9980e3db3d5ef9baf9fc3390408cee,1,0xe36b79317a75b08384c33d21197c7e3273886873,15,YES,1.0
ethereum,0xdb2808ed6cf0b8b9686222689cf4f6e88e42b80a,1,0xad0b860664a781cc164fc8ea36f81567ebec2c5f,12,YES,0.7670890873461094
ethereum,0x28c6c06298d514db089934071355e5743bf21d60,1,0x992837530c9980e3db3d5ef9baf9fc3390408cee,15,YES,0.7339652
ethereum,0xcd16c08f73cd87558304ce2209fca69ac5885e69,1,0xb09080c5ac5adc483208dfbe22f8684eec907c17,36,YES,0.30000000000000004
ethereum,0x732101354af9a6e5bb40024835a748958c091ded,1,0x53a30736a43c413edf5c13f049d34d3dd57b7128,56,NO,0.202
ethereum,0x2cff890f0378a11913b6129b2e97417a2c302680,1,0x84252729ed32fa0fa1b454b8f58b71758239d627,41,NO,0.2
ethereum,0xa7b9d5fc54eb3ffe1985a10e28d045a9b89487d0,1,0xb397dee549e3fdf24c82b72707cb6fcd849d214f,52,YES,0.2
ethereum,0xbec3396836c22ed69945d4951ca3fe7c2f520ff4,1,0xa4c8e8d8983e53381b25967659a368f8e108aca2,13,YES,0.1
ethereum,0xfa205120907585d2c46214beb2f27bc496e4235d,1,0x27064cc4fe5bd5a20d0e5a21390a45f5a44bf7d3,44,YES,0.07500000000000001
ethereum,0xf30ba13e4b04ce5dc4d254ae5fa95477800f0eb0,1,0x203f9674be9782bc4b194625ee9dc6800e65b2d8,32,NO,0.0582634522
ethereum,0x796ad775d8b7fb1445a2196b7b7c297f87e8b9f2,1,0x0f8fe8e8b7ad38615904a08e821e875fa19d8b67,28,YES,0.05
ethereum,0x44a836d78305a80a45a203addd0fb82485dd16bb,1,0x841499f8f5f869c20886d581641dc181e9c6b672,47,YES,0.03793307829085619
ethereum,0x10776a5f58442a9d46bb678990963ca34a08b071,1,0xd48010de315e10d071853b1466f0c273e766fa07,39,NO/YES,0.03318936485668728
ethereum,0xd20549d2a869b1818790da9dbc5803ce062b6bdd,1,0xcd16c08f73cd87558304ce2209fca69ac5885e69,36,YES,0.02897202567419705
ethereum,0xdd2cb8c9b8fccdc366ae60f4fe1c99813ec0d18e,1,0xdd2cb8c9b8fccdc366ae60f4fe1c99813ec0d18e,43,YES,0.0216
ethereum,0x3d65ed138686e2ad54006d4db83ad4597d645370,1,0x1de746bb64222c304b38f84613745323cb6c7fc1,50,NO,0.008488354509565466
ethereum,0xc066ac5d385419b1a8c43a0e146fa439837a8b8c,1,0xfcfa494c13409172109f161c428499b39682ffa4,35,YES,0.00458106754273075
ethereum,0x121f6f555a3de163411e9dfbb8bab2588770eac9,1,0x8b64673c9a482913a6e2c1298637532947cd96ee,38,YES,2.0699999999999996e-07
ethereum,0x2b2be17d23de1b418fb92a8170e5fa127ffbcedc,1,0xd2a78bb82389d30075144d17e782964918999f7f,2,YES,1.1899999999999998e-07
ethereum,0x876311979b95e676ef332490520ad315ae186b37,1,0x69d0a6ccb76f3f7ef96dada03b01b555e76fa819,43,YES,4e-08
ethereum,0x1c13cd9e5acacc0c918fb120d36a65c0043a277a,1,0x54b74d49cbfb92343e4607f260be721b208b4dfb,3,YES,4e-09
ethereum,0xad017d30b90e8b5a024cc48f2db304508ccc2c5f,1,0xdb2808ed6cf0b8b9686222689cf4f6e88e42b80a,12,YES,3.0000000000000004e-09
ethereum,0xf1781e332587902731009aa40f65d7447d84932c,1,0x9b8f31d4a132cfd3425eef49076e56e60dc1ed2f,37,OTHER/YES,3.0000000000000004e-09
ethereum,0xb397cac6c114a764c20c1ef46c5ca549f861214f,1,0xa7b9d5fc54eb3ffe1985a10e28d045a9b89487d0,52,YES,2e-09
ethereum,0xa9624879bb4220261c5b7511d65298251c6814e7,1,0x7baa3b328603535006d76d7b80af7260fd8a946a,40,YES,1e-09
ethereum,0x419d955a9c3df6a1b9eb3ebf2d21a3c63a8d57ef,1,0x419d955a9c3df6a1b9eb3ebf2d21a3c63a8d57ef,30,YES,0.0
ethereum,0x69d0341d380a1229f4751a0a721345dbc716586c,1,0x69d0341d380a1229f4751a0a721345dbc716586c,55,YES,0.0
