rank,staker_wallet,delegate_hot_wallet,ens,vote,voting_power_uma,pct_of_round,reveal_time_utc,shared_delegate_staker_count,eth_uma_inbound_in_window,eth_uma_outbound_in_window,all_inbound_transfer_count,all_outbound_transfer_count,polygon_known_contact_count,one_hop_conflict_match_count,first_gas_funders_in_window,lead_score,review_tier,score_reasons
18,0x2c26767989d49215d249e6d36f8e3fe2717f7dbd,,,YES,255937.0,1.37,2026-06-17T08:36:23,0,410744.043118388,410744.0431183879,35,172,13,0,,7,orange_review,voted_yes;pct_round_ge_1;uma_inbound_in_window;uma_outbound_in_window;polygon_known_target_or_protocol_contact
3,0x95cd0e455cf41e9f8cca8eee488432f3f10f29b8,0x54b74d49cbfb92343e4607f260be721b208b4dfb,,YES,1073433.0,5.75,2026-06-17T00:58:23,1,0.0,0.0,8,93,1,0,0x1c13cd9e5acacc0c918fb120d36a65c0043a277a,6,orange_review,voted_yes;pct_round_ge_5;polygon_known_target_or_protocol_contact
36,0xcd16c08f73cd87558304ce2209fca69ac5885e69,0xb09080c5ac5adc483208dfbe22f8684eec907c17,,YES,103363.0,0.55,2026-06-17T01:24:59,1,92555.65872995711,92555.65872995711,214,520,45,0,0xc60d99766d22727f626d758a8b1c021370f436ae;0xcd16c08f73cd87558304ce2209fca69ac5885e69;0xd20549d2a869b1818790da9dbc5803ce062b6bdd,6,orange_review,voted_yes;uma_inbound_in_window;uma_outbound_in_window;polygon_known_target_or_protocol_contact
60,0x126db3213b309a8d554594e591e614425ccac78e,,,YES,25225.0,0.14,2026-06-17T00:28:59,0,2525.882678822518,2525.974390989195,134,196,22,0,,6,orange_review,voted_yes;uma_inbound_in_window;uma_outbound_in_window;polygon_known_target_or_protocol_contact
1,0xfc204fcfd2a579157898a212ea25ac98de2b1e1c,0x2f8320c2dc28681aa5bbf92e79c37be656a7d5f1,borntoolate.eth,YES,3121680.0,16.71,2026-06-17T22:07:35,1,1877800.0,1877800.0,6,89,0,0,,5,orange_review,voted_yes;pct_round_ge_5;uma_inbound_in_window;uma_outbound_in_window
10,0xeaf0f2eab859d1036ec14f8c4a1a7da8e4ef6aff,0xaf4c815cf13bc8671a2a12bde62aabec24651ccc,,YES,459684.0,2.46,2026-06-17T06:13:35,1,12195.273765278598,12195.273765278598,11,95,0,0,,4,yellow_review,voted_yes;pct_round_ge_1;uma_inbound_in_window;uma_outbound_in_window
13,0xbec3396836c22ed69945d4951ca3fe7c2f520ff4,0xa4c8e8d8983e53381b25967659a368f8e108aca2,,YES,315100.0,1.69,2026-06-17T01:20:23,1,68283.62680880624,68283.62680880624,12,105,0,0,0xbec3396836c22ed69945d4951ca3fe7c2f520ff4,4,yellow_review,voted_yes;pct_round_ge_1;uma_inbound_in_window;uma_outbound_in_window
15,0x992837530c9980e3db3d5ef9baf9fc3390408cee,0xe36b79317a75b08384c33d21197c7e3273886873,,YES,305567.0,1.64,2026-06-17T01:18:35,1,78549.91068898106,78549.91068898108,12,100,0,0,0x28c6c06298d514db089934071355e5743bf21d60;0x992837530c9980e3db3d5ef9baf9fc3390408cee,4,yellow_review,voted_yes;pct_round_ge_1;uma_inbound_in_window;uma_outbound_in_window
24,0x6573e30ee0ad46bc9afa0c2adb0d3f147d658efe,,,OTHER/YES,206867.0,1.11,2026-06-17T20:08:59,0,13000.0,13000.0,10,174,0,0,,4,yellow_review,voted_yes;pct_round_ge_1;uma_inbound_in_window;uma_outbound_in_window
2,0xd2a78bb82389d30075144d17e782964918999f7f,0x2ec20e5aa17f736060356f6b186208d5ce0ab4b4,maxodds.eth,YES,1537545.0,8.23,2026-06-17T04:36:59,1,0.0,0.0,27,113,0,0,0x2b2be17d23de1b418fb92a8170e5fa127ffbcedc,3,yellow_review,voted_yes;pct_round_ge_5
