wallet,name,uma_role,creation_timestamp_utc,first_funder,funder_label,first_tx_hash,wallet_type,polygonscan_link
0xc4d1a863e9cc45d02ba22d3a1ae9ba7822018ce8,rdba,none,unknown,,,,unknown,https://polygonscan.com/address/0xc4d1a863e9cc45d02ba22d3a1ae9ba7822018ce8
0xf1539247af59b16517377a859bcd0d9c7eac162c,secretscent,hop-2 link to proposer 0xc33780d8,2026-05-02T15:06:58+00:00,0x13c4b56693129c2aeacee512d165658be78385d8,funder_of_secretscent,0x127df5fd28ab8a25e961ea68288320220c49afe2a71cb63fb36f176c4fe5ed8b,proxyWallet (smart contract),https://polygonscan.com/address/0xf1539247af59b16517377a859bcd0d9c7eac162c
0x672f13d830d3617efea21c2ec7f4bda5d2c27fcc,Shirtybonds,none,2026-06-02T06:41:55+00:00,0x1e528a1918ff34a43059f533247999fb1c742652,funder_of_Shirtybonds,0x1df187332bc483abd404e01161e90037eb60515fec435f2f85417f46f5fea830,proxyWallet (smart contract),https://polygonscan.com/address/0x672f13d830d3617efea21c2ec7f4bda5d2c27fcc
0x0e5bd76779e74304d08e759072abf126d87da593,JAHODA,none,2025-11-07T10:50:53+00:00,0x02a86f51aa7b8b1c17c30364748d5ae4a0727e23,funder_of_JAHODA,0x338f905812d972428b0a466a9de1269a595dbffe08498bc736ca5dd2cc0fe518,proxyWallet (smart contract),https://polygonscan.com/address/0x0e5bd76779e74304d08e759072abf126d87da593
0x665dcbe83796b5010279f0a38b197d65e0aaaf35,0x665d_anon,none,2026-04-22T10:35:40+00:00,0xacff32f36054e039003c7925f7834360531f1f9a,funder_of_0x665d,0xb51342ec2dabf76eb9d9bb39a056f54625964d221f98f623b21ae8aa702beada,proxyWallet (smart contract),https://polygonscan.com/address/0x665dcbe83796b5010279f0a38b197d65e0aaaf35
0x52e5a051ecdb72c973efcba97d375e0d1eea920a,0x52e5_anon,none,unknown,,,,unknown,https://polygonscan.com/address/0x52e5a051ecdb72c973efcba97d375e0d1eea920a
0xd1c769317bd15de7768a70d0214cf0bbcc531d2b,033033033,none,2024-11-07T03:55:48+00:00,0x09583cb666c9a687adeafb50fd556adb6bae6fa6,,0x888c4f5cad6a14ad468c23ef58540f6a14679648fba2ef90f7c020cc814c8ee7,proxyWallet (smart contract),https://polygonscan.com/address/0xd1c769317bd15de7768a70d0214cf0bbcc531d2b
0x82a7183f93447d7a8ff5b4bd08eb0d74de266ed8,Dripx,none,2025-09-04T22:17:58+00:00,0xddd8c93165245b2764dfe8be340992e99d7b2c07,,0x174eb7bcf72fca6c668f4fa22a5761869fbf8a202e1287741f4c6038138b7d84,proxyWallet (smart contract),https://polygonscan.com/address/0x82a7183f93447d7a8ff5b4bd08eb0d74de266ed8
0xfcd0eadb24d78e016e88b9e2a7029e349ba6391d,GroyperFinance,PROPOSER - direct OOv2 bond/reward,2026-04-30T05:37:52+00:00,0x76b6bc7179207396c2b62de6585250a114a17e58,,0x22ce4864baefd2cdca12a2fa4ea6d1602c05bd4ff54301d30daaa39fdf9a62ab,proxyWallet (smart contract),https://polygonscan.com/address/0xfcd0eadb24d78e016e88b9e2a7029e349ba6391d
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,ArmageddonRewardsBilly,UMA reward recipient,2025-01-25T08:44:03+00:00,0x4da9395388791c22684e03779c3de10934eb9cfb,,0x118b88f73e4455000bfdf66838819c94df77406a723a55df3889b723519f7449,proxyWallet (smart contract),https://polygonscan.com/address/0xc8ab97a9089a9ff7e6ef0688e6e591a066946418
0xa102b434ce441a3119e146f75ed6276ee1a836d9,tf2,PROPOSER - direct OOv2 bond/reward,2023-09-27T15:42:37+00:00,0xae700edfd9ab986395f3999fe11177b9903a52f1,,0x2170b0da2f5c25335c6d71ec3eec8b3374f8242e4b7a0ae0be989b41c6d18c00,proxyWallet (smart contract),https://polygonscan.com/address/0xa102b434ce441a3119e146f75ed6276ee1a836d9
0x6fec0fd0e5562f0ca9a709417d4492aadac43be3,0x6fec_anon,none,2026-04-22T10:30:14+00:00,0xf105cd06bf6ff2e8c9233a64ebf79ab85034709b,,0xab357953cd50942f4530700e394a0863d38aa4ae60de639b8ad05783e81e7f19,proxyWallet (smart contract),https://polygonscan.com/address/0x6fec0fd0e5562f0ca9a709417d4492aadac43be3
0xc6587b11a2209e46dfe3928b31c5514a8e33b784,Erasmus.,none,2024-07-29T21:27:26+00:00,0x0a16ff4c4e2ecd65e178e5a793f3297312844a62,funder_of_Erasmus+debased,0xef46f6867cee78ecf711c9256c407b4d7e9f334c4fec092d20444ba4b8e41aaf,proxyWallet (smart contract),https://polygonscan.com/address/0xc6587b11a2209e46dfe3928b31c5514a8e33b784
0x90ca00f0a7c263ce9e8a9af5ad044cd4dc9c1a4b,0x90ca_anon,none,2026-04-22T10:19:12+00:00,0x7db63fe6d62eb73fb01f8009416f4c2bb4fbda6a,,0x24aab82426bbd4d2e2e5811202cfe7dcf4667e167249f17e0adcfa9b557c5f33,proxyWallet (smart contract),https://polygonscan.com/address/0x90ca00f0a7c263ce9e8a9af5ad044cd4dc9c1a4b
0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,debased,none,2023-04-04T10:09:20+00:00,0x0a16ff4c4e2ecd65e178e5a793f3297312844a62,funder_of_Erasmus+debased,0xfffadc54ed2b5241c4a20539041a8ab318f39d50ba33f063a7400a00698afbe3,proxyWallet (smart contract),https://polygonscan.com/address/0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1
0xa022ba0a68e11a78348382ff168601012d4d77f8,yungstalin,none,2026-03-17T00:00:51+00:00,0x4fac062e3edf91d976ea75ea6007cc3b086daad3,funder_of_yungstalin+Anghkooey,0x58a0afc8694f991e3d0c257f319dfd74305349aab5a15f780c08ecc7ab5a7955,proxyWallet (smart contract),https://polygonscan.com/address/0xa022ba0a68e11a78348382ff168601012d4d77f8
