address,name,address_type,role_in_investigation,is_cluster,polymarket_profile,polygonscan_link
0xc4d1a863e9cc45d02ba22d3a1ae9ba7822018ce8,rdba,Polymarket proxyWallet (smart contract),Trader — none,True,https://polymarket.com/profile/0xc4d1a863e9cc45d02ba22d3a1ae9ba7822018ce8,https://polygonscan.com/address/0xc4d1a863e9cc45d02ba22d3a1ae9ba7822018ce8
0xf1539247af59b16517377a859bcd0d9c7eac162c,secretscent,Polymarket proxyWallet (smart contract),Trader — hop-2 link to proposer 0xc33780d8,True,https://polymarket.com/profile/0xf1539247af59b16517377a859bcd0d9c7eac162c,https://polygonscan.com/address/0xf1539247af59b16517377a859bcd0d9c7eac162c
0x672f13d830d3617efea21c2ec7f4bda5d2c27fcc,Shirtybonds,Polymarket proxyWallet (smart contract),Trader — none,True,https://polymarket.com/profile/0x672f13d830d3617efea21c2ec7f4bda5d2c27fcc,https://polygonscan.com/address/0x672f13d830d3617efea21c2ec7f4bda5d2c27fcc
0x0e5bd76779e74304d08e759072abf126d87da593,JAHODA,Polymarket proxyWallet (smart contract),Trader — none,True,https://polymarket.com/profile/0x0e5bd76779e74304d08e759072abf126d87da593,https://polygonscan.com/address/0x0e5bd76779e74304d08e759072abf126d87da593
0x665dcbe83796b5010279f0a38b197d65e0aaaf35,0x665d_anon,Polymarket proxyWallet (smart contract),Trader — none,True,https://polymarket.com/profile/0x665dcbe83796b5010279f0a38b197d65e0aaaf35,https://polygonscan.com/address/0x665dcbe83796b5010279f0a38b197d65e0aaaf35
0x52e5a051ecdb72c973efcba97d375e0d1eea920a,0x52e5_anon,Polymarket proxyWallet (smart contract),Trader — none,True,https://polymarket.com/profile/0x52e5a051ecdb72c973efcba97d375e0d1eea920a,https://polygonscan.com/address/0x52e5a051ecdb72c973efcba97d375e0d1eea920a
0xd1c769317bd15de7768a70d0214cf0bbcc531d2b,033033033,Polymarket proxyWallet (smart contract),Trader — none,True,https://polymarket.com/profile/0xd1c769317bd15de7768a70d0214cf0bbcc531d2b,https://polygonscan.com/address/0xd1c769317bd15de7768a70d0214cf0bbcc531d2b
0x82a7183f93447d7a8ff5b4bd08eb0d74de266ed8,Dripx,Polymarket proxyWallet (smart contract),Trader — none,True,https://polymarket.com/profile/0x82a7183f93447d7a8ff5b4bd08eb0d74de266ed8,https://polygonscan.com/address/0x82a7183f93447d7a8ff5b4bd08eb0d74de266ed8
0xfcd0eadb24d78e016e88b9e2a7029e349ba6391d,GroyperFinance,Polymarket proxyWallet (smart contract),Trader — PROPOSER - direct OOv2 bond/reward,True,https://polymarket.com/profile/0xfcd0eadb24d78e016e88b9e2a7029e349ba6391d,https://polygonscan.com/address/0xfcd0eadb24d78e016e88b9e2a7029e349ba6391d
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,ArmageddonRewardsBilly,Polymarket proxyWallet (smart contract),Trader — UMA reward recipient,True,https://polymarket.com/profile/0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,https://polygonscan.com/address/0xc8ab97a9089a9ff7e6ef0688e6e591a066946418
