proxyWallet,pattern,uniqueMarketsBoughtYES,targetMarketYESBuyCount,futureMarketYESBuyCount,targetMarketYESNotionalUSDC,futureMarketYESNotionalUSDC,totalYESNotionalUSDC,earliestYESBuyUTC,latestYESBuyUTC,names,pseudonyms
0x5bb0de4e97698184ead80c80cb17a26cd6f6814b,BOUGHT_FUTURE_MARKETS_ONLY,2,0,10,0.0,1109998.89,1109998.89,2026-06-17T07:50:59+00:00,2026-06-17T07:58:19+00:00,bobe2.1,Pointless-Motherinlaw
0x4099db7f2d394449ccf89c8d42260ecaf1d79fb8,BOUGHT_FUTURE_MARKETS_ONLY,3,0,5,0.0,859472.03304,859472.03304,2026-06-17T07:56:41+00:00,2026-06-17T07:59:29+00:00,PowellTheKing,Windy-Guard-Cria
0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,BOUGHT_FUTURE_MARKETS_ONLY,6,0,75,0.0,674779.578004,674779.578004,2026-05-08T23:48:34+00:00,2026-06-17T18:13:23+00:00,aenews2,Sociable-Rooster
0x4c358f830cea4ee26a301ed0faef418bc149fcfe,BOUGHT_FUTURE_MARKETS_ONLY,2,0,57,0.0,670170.30334,670170.30334,2026-06-17T14:56:11+00:00,2026-06-17T17:49:17+00:00,FengfengHUop,Delightful-Forager
0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,BOUGHT_FUTURE_MARKETS_ONLY,2,0,4,0.0,573725.0,573725.0,2026-06-17T07:56:41+00:00,2026-06-17T07:58:19+00:00,elmcap2,Flashy-Label
0xd189664c5308903476f9f079820431e4fd7d06f4,BOUGHT_FUTURE_MARKETS_ONLY,3,0,95,0.0,314149.991702,314149.991702,2026-06-16T23:53:38+00:00,2026-06-17T17:25:29+00:00,rwo,Smart-Compassion
0xebc6257296364265b17cb6e2d605c66d14fdd45f,BOUGHT_FUTURE_MARKETS_ONLY,2,0,16,0.0,309221.14834,309221.14834,2026-06-17T16:36:05+00:00,2026-06-17T18:09:13+00:00,NIRVANA87,Nonstop-Reef
0x1295269296e51cd28a3db85fa6728c0e352b5cfd,BOUGHT_FUTURE_MARKETS_ONLY,2,0,10,0.0,254162.198308,254162.198308,2026-06-17T18:12:40+00:00,2026-06-17T18:43:55+00:00,FlyingPlaty,Sugary-Concentration
0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,BOUGHT_FUTURE_MARKETS_ONLY,5,0,96,0.0,231901.73646,231901.73646,2026-06-16T13:11:01+00:00,2026-06-18T00:33:05+00:00,classified,Personal-Bake
0x751a2b86cab503496efd325c8344e10159349ea1,BOUGHT_FUTURE_MARKETS_ONLY,2,0,27,0.0,174368.09736,174368.09736,2026-06-17T21:09:05+00:00,2026-06-17T23:49:37+00:00,Sharky6999,Tremendous-Closet
