UMA Whales — Top 60 voters by voting power,,,,,,,,,,,,,,,
Each row = one staker wallet. 'Delegate / hot wallet' = the address used to cast the vote. Addresses link to Etherscan.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rank,Wallet address,ENS,Vote,"Voting power
(at vote, UMA)",% of round,"Current staked
UMA","Wallet UMA
balance","Total UMA
(stake+wallet)","Claimable
rewards (UMA)","Pending
unstake","Slash
adj.",Delegate / hot wallet,"ETH
balance","Tx
count",Reveal time (UTC)
1,0xFc204FCfd2A579157898A212ea25Ac98de2b1E1C,borntoolate.eth,YES,"3,121,680",16.71%,"3,121,680",0,"3,121,680","38,656.3",0,0.00,0x2f8320C2Dc28681Aa5BBF92e79C37BE656a7D5F1,0.600,520,2026-06-17T22:07:35
2,0xD2A78Bb82389D30075144d17E782964918999F7f,maxodds.eth,YES,"1,537,545",8.23%,"1,538,545",0,"1,538,545","71,485.6",0,0.00,0x2EC20e5aA17F736060356f6B186208D5Ce0aB4b4,111.025,"1,490",2026-06-17T04:36:59
3,0x95cD0e455cf41E9F8ccA8Eee488432F3f10F29b8,,YES,"1,073,433",5.75%,"1,074,131",0,"1,074,131","68,683.3",0,0.00,0x54B74D49cbfb92343E4607F260BE721b208b4dfB,0.095,16,2026-06-17T00:58:23
4,0xfEc2Ade141272f5271FEbaDFca5d21Ca30fc04a5,,YES,"1,072,344",5.74%,"1,070,532",0,"1,070,532","28,009.5",0,0.00,0xB21bE96Dc75717272402eF97A5CC144544263E3c,0.620,580,2026-06-17T14:58:47
5,0x05D184b066d72cd42A1Fe0FB880c3D4A0adbf8c4,,YES,"989,950",5.30%,"990,594",0,"990,594","58,679.0",0,0.00,0x099aF188E9c68B91617EfE4b09Ee8CD90ba4c63d,0.068,22,2026-06-17T02:00:11
6,0x0aFC9A935960948ED35e50AC7639CBb38E840b38,,YES,"880,730",4.72%,"885,032",0,"885,032",570.5,0,0.00,0x4B8aef878255F6242606Fe5e73D659004F5A34fA,0.000,1,2026-06-17T17:11:23
7,0x487a5bbdc6091bE0E27c0e8Ea283047D94862538,,OTHER/YES,"715,196",3.83%,"715,857",0,"715,857","7,922.5",0,0.00,0x260D417fBD1716B1375CD311f8a6677c4a780B3A,0.000,1,2026-06-17T03:40:35
8,0x8548682E561668a51f99124d998DB97fF326E67E,,YES,"461,920",2.47%,"463,412",0,"463,412",481.1,0,0.00,0xC03808e0Af01563A739e408268d5517Dd7d710f3,83.974,137,2026-06-17T00:37:35
9,0x6564C6C44ef87e3BB32D7987317869817380340c,,YES,"461,061",2.47%,"461,061",0,"461,061",900.1,0,0.00,0xC636DA66cfa5c363C4785835069dcAF85ab91feB,0.000,1,2026-06-17T08:55:59
10,0xeAF0f2eab859d1036Ec14F8c4A1a7da8e4eF6AFf,,YES,"459,684",2.46%,"460,647",0,"460,647","6,293.3",0,0.00,0xaF4C815CF13Bc8671a2a12BdE62aABEC24651ccC,0.088,12,2026-06-17T06:13:35
11,0x66Ca133ec691CA210251FCd4C963Ba220515225a,,YES,"439,615",2.35%,"441,032",0,"441,032",25.2,0,0.00,0x2108a6d1f32D1A932431d64E3328D1d45bD0520f,0.000,1,2026-06-17T00:06:35
12,0xDb2808ed6cF0B8B9686222689CF4f6e88E42B80A,,YES,"358,438",1.92%,"359,188",0,"359,188","3,359.8",0,0.00,0xad0B860664a781Cc164fc8Ea36f81567ebeC2c5f,4.342,573,2026-06-17T01:26:11
13,0xbEC3396836c22ed69945d4951cA3FE7C2F520ff4,,YES,"315,100",1.69%,"315,759",0,"315,759","2,954.1",0,0.00,0xa4c8e8D8983e53381b25967659A368f8E108aca2,0.071,84,2026-06-17T01:20:23
14,0xf659A672600f7c9f6fAc317f884F8C76357FD48b,,YES,"309,632",1.66%,"310,280",0,"310,280","5,848.9",0,0.00,0x6147d56b02faBD35cd9fC2B80a60276cDf089521,0.000,1,2026-06-17T06:14:23
